,Name,address,pincode,website,phone number,scrap
0,Vijaya Dairy Parlour,"H.No : 4-2-604/1, Wyra Road Rotary Nagar, Raheem bagh, Khammam, Telangana 507002",507002,, ,507157
1,Moppidevi,"743M+G3M, Sai Ganesh Nagar, Road No. 3, Khammam, Telangana 507003",507003,,095021 32434,507157
2,HAP daily,"SHOP NO:6-1-400, OPP:SIMA FANCY, Dwaraka Nagar, Khammam, Telangana 507002",507002,https://hapdaily.com/,099591 65878,507157
3,Tenali Vijay Badam Milk Center,"2-3-99/1Beside Gandhi Andra Bank, Gandhi Chowk, Moti Nagar, Khammam, Telangana 507003",507003,,083400 27886,507157
4,HAP daily,"NO:1, 4JRF+H56, 6-113/8, VT Rd, near by KANAYKAPARAMESHWARI GUDI, Sriram Nagar, Vidyanagar, Suryapet, Telangana 508213",508213,https://hapdaily.com/,080088 33456,507157
5,"Vijaya Dairy, Mahabubabad","J234+F48, Mahabubabad, Telangana 506101",506101,,099899 99786,507157
6,Vijaya Lakshmi Milk Center,"Ranga Theatre Complex, Kodad, Kodad, Telangana 508206",508206,, ,507157
7,Masam Farms,"65W2+JW8, Cheruvu Bazar, Yedulapuram, Khammam, Telangana 507001",507001,https://masamfarms.blogspot.com/, ,507157
8,MODEL DAIRY,"Ramachandra Nagar Colony, Moti Nagar, Khammam, Telangana 507001",507001,, ,507157
9,SURABHI GOSALA,"P93F+M7P, Ponnavaram, Andhra Pradesh 521180",521180,http://surabhigosala.com/,090300 17892,507157
10,Gupta General Store & Dairy products,"FF74+G2V, Pedaparimi - Tullur Rd, Pedaparimi, Andhra Pradesh 522236",522236,, ,507157
11,Suvarna Agro & Dairy Farms,"Byrapuneni vari street, Perecherla, Andhra Pradesh 522005",522005,,095761 89999,507157
12,Laxmi Ankamma Thalli Pala Dairy,"Repalle Road Op Set Indian Bank, Nethaji Nagar, Guntur, Andhra Pradesh 522265",522265,,086390 22080,507157
13,"Palakendram, Vijaya Dairy","National Highway 30, Laxmipuram, Andhra Pradesh 521235",521235,, ,507157
14,D-Mart,"742P+66X, Trunk Rd, Ramachandra Nagar Colony, Moti Nagar, Khammam, Telangana 507003",507003,http://www.dmartindia.com/,022 3340 0500,507157
15,Vijaya milk dairy,"7568+MHH, Government School Rd, Khanapuram Industrial Area, Khanapuram, Khammam, Telangana 507002",507002,, ,507157
16,Vijaya Dairy Parlour,"64WP+FRG, Gandhi Chowk, opp. Indian overseas bank, Ramachandra Nagar Colony, Moti Nagar, Khammam, Telangana 507001",507001,, ,507157
17,"Dairy Farm, Kokrajhar","Nounwgwr, Kokrajhar, Boro Bhatarmari, Assam 783370",783370,https://drive.google.com/drive/folders/1-1hugtR4yUBSZh0vzQftDLKCYSTrL57i?usp=sharing, ,783350
18,MOSTAFA PRAMANIK,"VILL-SATBIL PT-II, Gossaigaon-Sapatgram Rd, Bhowraguri-Satbil-II, Assam 783336",783336,,060026 01118,783350
19,F Brahma,"839X+P6X, Bhelakoba Pt.I, Dudumari-I, Assam 783349",783349,, ,783350
20,Kasem Ali,"Kokrajhar - Monakosha Rd, Kharida Chandala Pt I, Magurmari, Assam 783370",783370,,070023 80322,783350
21,Mistri Grocery Shop,"Gossaigaon, Assam 783360",783360,,070023 24544,783350
22,H A DAIRY FARM & HOUSE,"7Q9C+3CJ, Bidyadabri Pt.II, Assam 783335",783335,, ,783350
23,Agro Vet Dairy Farm,"back side gauria math, Bongaigaon, Assam 783380",783380,, ,783350
24,Dairy Farm,"CMF4+993, Kaimari Lohra Para, Assam 783383",783383,, ,783350
25,Grocery,"Second Spot, near SSB Camp, Kokrajhar, Batabari, Assam 783376",783376,,099541 44094,783350
26,Nilakshi Store,"Santinagar, Kokrajhar, Assam 783370",783370,,098591 19121,783350
27,GREEN VALLEY DAIRY FARM,"6P6P+WQC, Jhapusabari Pt.III, Assam 783335",783335,, ,783350
28,Shree Ram Store,"Jwhwlao Dwimalu Rd, Subhashpally, Kokrajhar, Assam 783370",783370,,060013 70108,783350
29,Retail Shop,"W/N 08, Manjil Enterprise N.B Road, Jampaibarnai Rd, Kokrajhar, Assam 783370",783370,, ,783350
30,Rofikul Islam,"Shop No 18, Rofikul Islam, Dhubri - Kochugaon Rd, Paglahat, Kachakhana, Assam 783334",783334,,060014 52412,783350
31,RR Dairy Farm(Rajab Ali),"Vill-Goraimari No-3 Part 2 P.O-Monakocha Pin-783391 Dist, Goraimari, Monakocha, Assam 783390",783390,, ,783350
32,Jaynal store,"Shop No.12, Jaynal Store, To, near Barzan Materpar Barzan, Gossaigaon, Dingdinga, Assam 783332",783332,,091015 59491,783350
33,Yusub Ali Sk,"Shop No.19, Yusub Ali Sk, Dhubri - Kochugaon Rd, Paglahat, Kachakhana, Assam 783334",783334,,070028 62420,783350
34,SAFIYA STORE,"01, Bajar, Hatidhura, Talowagaon, Assam 783332",783332,,093658 76795,783350
35,Gauranga Baishnab,"Shop No45, Gauranga Bishnab, Tamarhat, Kachakhana, Assam 783334",783334,,069013 98603,783350
36,Mofijul Nut Alom,"Shop 32, Mofijul Nut Alom, Dk.Road, Bahakati, Paglahat, Assam 783334",783334,,099546 84225,783350
37,"Dairy Farm, Kokrajhar","Nounwgwr, Kokrajhar, Boro Bhatarmari, Assam 783370",783370,https://drive.google.com/drive/folders/1-1hugtR4yUBSZh0vzQftDLKCYSTrL57i?usp=sharing, ,783369
