,Name,address,pincode,website,phone number,scrap
0,Amarnath Gaushala अमरनाथ गौशाला,"H6W9+RPV, Amnath, Madhya Pradesh 460665",460665,, ,460665
1,Gaushala Bhagoda,"M672+GXH, Vaghoda, Madhya Pradesh 460666",460666, , ,460665
2,Sri krishna gaushala,"R97V+RF6, Singarimunda, Odisha 759125",759125,, ,762014
3,Gaushala,"SREE SHANI MANDIR, near old mondha, Khadakpura, Nanded, Nanded-Waghala, Maharashtra 431604",431604,, ,431606
4,Shree Gokuldham Gaudhala ( shree Dinesh maharaj ji ),"Shree Gokuldham, gaushala Oshmannagar road, Nanded, Dhakni, Maharashtra 431603",431603,, ,431606
5,Sri Mahaveer Jain Gaushala,"7CGJ+9WG, Ingalgi Road, Ahimsa Nagar, Malpangudi, Bellary, Hosapete, Karnataka 583201",583201,,099020 46870,583132
6,SRI GANESH GOUSHALA,SH NO.23 GANGAVATHI,AVATHI,, ,583132
7,Goshala Ballari(Gosanrakshana Sangha),"22/23, Old Town, Ballari, Karnataka 583101",583101,, ,583132
8,ಕಲ್ಯಾಣಚೌಕೀಮಠ ಕಾಮಧೇನು ಗೋಶಾಲಾ sri kayalna chowiki mata goshala,"8JM2+FV, Kanvithimmalapur, Karnataka 583132",583132,, ,583132
9,Gosala,"3G93+JG9, Gabasahi, Bhadrak, Odisha 756100",756100,, ,756111
10,Goshala soro,"7MPQ+WCG Gosala market, Soro, Odisha 756045",756045,, ,756126
11,Gosala,"3G93+JG9, Gabasahi, Bhadrak, Odisha 756100",756100,, ,756126
12,Dhupeshwar sansthan gaushala,"X74H+R33, Hingana Nagapur, Maharashtra 443112",443112,, ,443112
13,Krushnai Goshala Trust Jamod Nagveli,"Jamod, Chalthana Bk., Maharashtra 443402",443402,,090119 19575,443402
14,Krushanai gaushala,"4H9M+V83, Unnamed Road, Chalthana Bk., Maharashtra 443402",443402, , ,443402
15,Dhupeshwar sansthan gaushala,"X74H+R33, Hingana Nagapur, Maharashtra 443112",443112,, ,443101
16,Dhupeshwar sansthan gaushala,"X74H+R33, Hingana Nagapur, Maharashtra 443112",443112,, ,443404
17,Krushnai Goshala Trust Jamod Nagveli,"Jamod, Chalthana Bk., Maharashtra 443402",443402,,090119 19575,443404
18,Krushanai gaushala,"4H9M+V83, Unnamed Road, Chalthana Bk., Maharashtra 443402",443402, , ,443404
19,Gaushala,"6FVR+JC3, Vivekanand Nagar, Maharashtra 444301",444301,, ,443202
20,Vedic gaushala,"Bhi sawal road, Midc, Jamner, Maharashtra 424206",424206,https://vedicgauproducts.com/,096656 74495,425114
21,Krishnapriya gaushala,"RPHW+V7P, Hivar Khede Bk., Maharashtra 424206",424206,, ,425114
22,Shri Mahavir Gaushala,"RQJP+VP, Ambilhol, Maharashtra 424206",424206,, ,425114
23,Radhakrishna Gaushala,"2H3R+HFM, Old MIDC, Jalgaon, Maharashtra 425003",425003,,098233 84484,425114
24,R C Bafna Gau Shala,"Airport Area, Kusumbe, Kusumbe Kh, Maharashtra 425003",425003,,095522 11099,425114
25,Bhaichand Hirachand Raisoni Goshala,"Talegaon, Maharashtra 424208",424208,"https://www.google.com/search?sca_esv=00e485a4403845c8&sca_upv=1&rlz=1C1CHWL_enIN1089IN1089&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=ADLYWILtKagE78nPZDbQH8192XU34_p3MQ:1716484346537&q=gaushalas+at+425114#",02580 260 311,425114
26,Ramgopal Goshala Trust,"742R+6FM, Dharangaon-Shirpur Naka, Tal, Dist, Chopda, Maharashtra 425107",425107,,086000 77716,425107
27,Ram Gopal Goshala Trust,"67MP+254, Chopda, Maharashtra 425107",425107,, ,425107
28,Shri Ramgopal Goshala chopda,"68W3+V7J, Gajanan Co Operative Housing Society, Chopda, Maharashtra 425107",425107,, ,425107
29,Vedic gaushala,"Bhi sawal road, Midc, Jamner, Maharashtra 424206",424206,https://vedicgauproducts.com/,096656 74495,424208
30,Shri Mahavir Gaushala,"RQJP+VP, Ambilhol, Maharashtra 424206",424206,, ,424208
31,Krishnapriya gaushala,"RPHW+V7P, Hivar Khede Bk., Maharashtra 424206",424206,, ,424208
32,Radhakrishna Gaushala,"2H3R+HFM, Old MIDC, Jalgaon, Maharashtra 425003",425003,,098233 84484,424208
33,Shriram Gaushala,"AwwalgaonRd, Nagamthan, Maharashtra 423701, Maharashtra 423701",423701,,088888 86500,424208
34,Nandini Gaushala -Cow Products in Nashik,"Peth Road, Umrale, Jambute, Nallegaon Taluka intersection, Maharashtra 401203",401203,http://www.nandinigoshala.com/,098221 12142,424208
35,R C Bafna Gau Shala,"Airport Area, Kusumbe, Kusumbe Kh, Maharashtra 425003",425003,,095522 11099,424208
36,Bhaichand Hirachand Raisoni Goshala,"Talegaon, Maharashtra 424208",424208,"https://www.google.com/search?sca_esv=00e485a4403845c8&sca_upv=1&rlz=1C1CHWL_enIN1089IN1089&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=ADLYWILtKagE78nPZDbQH8192XU34_p3MQ:1716484346537&q=gaushalas+at+424208#",02580 260 311,424208
37,Pawan Gaushala Pawnar,"QMP5+JCF, Dist, Wardha, Pavnar, Maharashtra 442111",442111,"https://www.google.com/search?sca_esv=00e485a4403845c8&sca_upv=1&rlz=1C1CHWL_enIN1089IN1089&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=ADLYWILtKagE78nPZDbQH8192XU34_p3MQ:1716484346537&q=gaushalas+at+424208#",099216 80388,424208
38,Bhakti Vedanta Eco Village Goshala Valur,"VVM5+5W9, Valuru, Karnataka 577452",577452, , ,576233
39,Kamadhenu goshala mahasangha,"GV4H+445, Udupi, Karnataka 576234",576234,, ,576233
40,"ಗೋ ಶಾಲೆ ,ಹೂವಿನಕೆರೆ","HPGP+F3G, Asodu, Karnataka 576231",576231,, ,576233
41,Ananth Krishna Goshala,"Gopinath Puranik Siddanayakan, Bandimutta, Hawaldar Bettu Rd, Karkala, Karnataka 574104",574104,,096861 40508,576233
42,Shri Krshna Temple goshala,"8QR2+MXV, Sri Krishna Temple Complex, Thenkpete, Maruthi Veethika, Udupi, Karnataka 576101",576101,,094492 22996,576233
43,SHREE SHREE GOVINDA JEW GOSHALA,"Mahabalapada, Sakhigopal, Muninda, Odisha 752014",752014,,090403 52052,752105
44,Nrusingha's Gaushala,"7VM8+C37, Rd Number 4, Jagannath Nagar, Jharapada, Bhubaneswar, Odisha 751010",751010,, ,752105
45,Balanga sub Post Office,"2VPH+VX8, Balanga, Odisha 752105",752105,http://indiapost.gov.in/,1800 11 2011,752105
46,Annapurna goshala,"C-44 New, Jagatpur Industrial Estate, Jagatpur, Odisha 754021",754021,https://www.annapurnagoshala.com/,083429 15235,752105
47,Sharma Gaushala,"7W62+G9X, Koelnagar C Block, Jagda, Rourkela, Odisha 769042",769042,, ,770033
48,SHRI Vedvyas Goshala,"6QPQ+6R3, Unnamed Road, Vedvyas, Rourkela, Odisha 769004",769004,,0661 266 0614,770033
49,Sri Vedvyas Goshala Samiti,"6QPP+6H6, Mandir Road, Vedvyas, Rourkela, Odisha 769004",769004,,0661 266 0614,770033
50,Nandgaon Goshala नंदगांव गोशाला,"115, C-Block, Sector 14, Rourkela, Raurkela Industrialship, Odisha 769009",769009,, ,770033
51,SHRI Vedvyas Goshala,"6QPQ+6R3, Unnamed Road, Vedvyas, Rourkela, Odisha 769004",769004,,0661 266 0614,770039
52,Sharma Gaushala,"7W62+G9X, Koelnagar C Block, Jagda, Rourkela, Odisha 769042",769042,, ,770039
53,Sri Vedvyas Goshala Samiti,"6QPP+6H6, Mandir Road, Vedvyas, Rourkela, Odisha 769004",769004,,0661 266 0614,770039
54,Nandgaon Goshala नंदगांव गोशाला,"115, C-Block, Sector 14, Rourkela, Raurkela Industrialship, Odisha 769009",769009,, ,770039
55,Dr. Malik's Gaushala,"S No 471 2, Alorna, Goa 403512",403512,https://drmaliksfarms.trakop.com/,088052 36091,416511
56,Sal Gaushala,"MWMR+F7F, Unnamed Road, Sal, Goa 403503",403503,, ,416511
57,Shikeri Gaushala Mayem,"Shikeri Gaushala, Maem, Bhatwadi, Goa 403504",403504,, ,416511
58,Dr. Malik's Agro Tourism,"Churangali, Hasapur, Goa 403512",403512,http://drmaliksfarms.trakop.com/,088052 36091,416511
59,Gomantak Gausevak Mahasangh,"Shikeri, Mayem, Dicholi, Goa 403504",403504,http://www.gomantakgausevak.com/,083908 98556,416511
60,Shri Kamdhenu goushala श्री कामधेनु गौशाला,"HW78+X4X, Sindhari, Rajasthan 344033",344033,, ,344033
61,"श्री बालाजी गौ शाला, ऊंचीया","J4WG+73C, Uchiya, Rajasthan 344033",344033,, ,344033
62,shree krishna gaushala,"H6CX+GHG, Nimbaala rajpurohitan, Dharna, Rajasthan 344801",344801,, ,344033
63,Gopal goshala,"Unnamed Road, Gudamalani, Nai Undari, Rajasthan 344031",344031,, ,344033
64,Gaushala Asada Gram,"Q638+7QH, Asada - Brahamdham Rd, Asada, Rajasthan 344022",344022,, ,344033
65,Sri Ramdev Gaushala,"R763+4MG, Megha Highway, Balotra, Rajasthan 344022",344022,, ,344033
66,Gaushala,"R6JW+36W, Balotra, Rajasthan 344022",344022,, ,344033
67,Shikotar mataji gaushala,"83PV+C7G, Sangana, Rajasthan 343032",343032,, ,344033
68,Mahaveer Gaushala,"1, Gaushala Rd, Agarwal Colony, Balotra, Rajasthan 344022",344022,, ,344033
69,Majisa goshala,"Q77V+5V4, near majisa mandir, Kitnod, Asotra, Rajasthan 344022",344022,, ,344033
70,Ganesh goshala,"6X4J+X6P, Unnamed Road, Bichhawari, Rajasthan 343032",343032,, ,344033
71,Maa Aainath Goshala,"Balotra, Kalawa, Rajasthan 344022",344022,http://aainathgaushala.org/, ,344033
72,Aainath Gaushala,"R6XW+MW2, Balotra, Rajasthan 344022",344022,http://aainathgaushala.org/, ,344033
73,Shree Bhairav Gaushala nakoda,"Q5R6+J9, Mewa Nagar, Nakoda, Rajasthan 344024",344024,, ,344033
74,Shree Gaushala Bhindakua,"Q8C6+G76, Unnamed Road, Kitnod, Bhinda Kua, Rajasthan 344022",344022,, ,344033
75,Shri Gopal Gaushala,"Gehu Road, Madhuban Colony, Railway Colony, Barmer, Rajasthan 344001",344001,, ,344033
76,Annpurna Goshala Sewa Samiti Balotra,"Balotra, Rajasthan 344022",344022,,096606 05769,344033
77,Shree Ramdev Goshala Mijliya Nada,"Akwa, Rajasthan 343032",343032,,080057 81849,344033
78,Sumer Gaushala Entry Point,"P9WV+X73, Harijan Basti, Barmer, Rajasthan 344001",344001,, ,344033
79,Gaushala Ground,"P9WV+R77, Harijan Basti, Barmer, Rajasthan 344001",344001,, ,344033
80,Vedic gaushala,"Bhi sawal road, Midc, Jamner, Maharashtra 424206",424206,https://vedicgauproducts.com/,096656 74495,424207
81,Krishnapriya gaushala,"RPHW+V7P, Hivar Khede Bk., Maharashtra 424206",424206,, ,424207
82,Shri Mahavir Gaushala,"RQJP+VP, Ambilhol, Maharashtra 424206",424206,, ,424207
83,Radhakrishna Gaushala,"2H3R+HFM, Old MIDC, Jalgaon, Maharashtra 425003",425003,,098233 84484,424207
84,"GOVIND GOVARDHAN GOSHALA, TALEGAON","PRRJ+XJ5, Talegaon, Maharashtra 424208",424208,,086983 63537,424207
85,Bhaichand Hirachand Raisoni Goshala,"Talegaon, Maharashtra 424208",424208,"https://www.google.com/search?sca_esv=00e485a4403845c8&sca_upv=1&rlz=1C1CHWL_enIN1089IN1089&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=ADLYWILtKagE78nPZDbQH8192XU34_p3MQ:1716484346537&q=gaushalas+at+424207#",02580 260 311,424207
86,Vedic gaushala,"Bhi sawal road, Midc, Jamner, Maharashtra 424206",424206,https://vedicgauproducts.com/,096656 74495,424206
87,Krishnapriya gaushala,"RPHW+V7P, Hivar Khede Bk., Maharashtra 424206",424206,, ,424206
88,Shri Mahavir Gaushala,"RQJP+VP, Ambilhol, Maharashtra 424206",424206,, ,424206
89,Sagar pali Goshala,"XXC8+WH, Mangaspur, Odisha 770072",770072, , ,770011
90,Sagar pali Goshala,"XXC8+WH, Mangaspur, Odisha 770072",770072, , ,770072
91, , ,768105, , ,768105
92,ISKCON Goshala,"8W93+J89, Atala, Odisha 752101",752101,, ,752101
93,JANAKI GOSALA,"Hanspal, Bhubaneswar, Odisha 752101",752101,, ,752101
94,Nrusingha's Gaushala,"7VM8+C37, Rd Number 4, Jagannath Nagar, Jharapada, Bhubaneswar, Odisha 751010",751010,, ,752101
95,Go Shala,"6QWW+4C7, Arya Village, Bhubaneswar, Odisha 751019",751019,, ,752101
96,Maa bhuasauni pokhairput goshala,"6RP6+CWX Pokhariput Flyover Sundarpada, beside Omfed, Pokhariput, Bhubaneswar, Odisha 751020",751020,,076068 98553,752101
97,Vrindaban Gir Gaushala,"Anand vihar, Ghatikia, Khandagiri, Bhubaneswar, Odisha 751019",751019,, ,752101
98,Sundari Gosala,"7RVV+6FJ, Saheed Nagar, Bhubaneswar, Odisha 751007",751007,, ,752101
99,Raghunath Nagar Goshala,"6QQP+762, Hanuman Temple Rd 2, Dumduma, Bhubaneswar, Ranasinghpur, Odisha 751019",751019,, ,752101
100,Sree Gopalkrushna Goshala,"Goshala Chhak, Naya Bazaar Rd, Rajendra Nagar, Cuttack, Odisha 753010",753010,, ,752101
101,Nrusingha's Gaushala,"7VM8+C37, Rd Number 4, Jagannath Nagar, Jharapada, Bhubaneswar, Odisha 751010",751010,, ,752102
102,Go Shala,"6QWW+4C7, Arya Village, Bhubaneswar, Odisha 751019",751019,, ,752102
103,ISKCON Goshala,"8W93+J89, Atala, Odisha 752101",752101,, ,752102
104,JANAKI GOSALA,"Hanspal, Bhubaneswar, Odisha 752101",752101,, ,752102
105,Vrindaban Gir Gaushala,"Anand vihar, Ghatikia, Khandagiri, Bhubaneswar, Odisha 751019",751019,, ,752102
106,Maa bhuasauni pokhairput goshala,"6RP6+CWX Pokhariput Flyover Sundarpada, beside Omfed, Pokhariput, Bhubaneswar, Odisha 751020",751020,,076068 98553,752102
107,Raghunath Nagar Goshala,"6QQP+762, Hanuman Temple Rd 2, Dumduma, Bhubaneswar, Ranasinghpur, Odisha 751019",751019,, ,752102
108,SHREE SHREE GOVINDA JEW GOSHALA,"Mahabalapada, Sakhigopal, Muninda, Odisha 752014",752014,,090403 52052,752102
109,Annapurna goshala,"C-44 New, Jagatpur Industrial Estate, Jagatpur, Odisha 754021",754021,https://www.annapurnagoshala.com/,083429 15235,752102
110,Vrindaban Gir Gaushala,"Anand vihar, Ghatikia, Khandagiri, Bhubaneswar, Odisha 751019",751019,, ,751003
111,Go Shala,"6QWW+4C7, Arya Village, Bhubaneswar, Odisha 751019",751019,, ,751003
112,Maa bhuasauni pokhairput goshala,"6RP6+CWX Pokhariput Flyover Sundarpada, beside Omfed, Pokhariput, Bhubaneswar, Odisha 751020",751020,,076068 98553,751003
113,Kunjamahal Gaushala (ଭାରତୀୟ ଗୋ ସମ୍ବର୍ଦ୍ଧନ ଓ ଅନୁସନ୍ଧାନ ସଂସ୍ଥାନ),"8QX2+3X, Jagannathprasad, Odisha 754012",754012,, ,751003
114,Raghunath Nagar Goshala,"6QQP+762, Hanuman Temple Rd 2, Dumduma, Bhubaneswar, Ranasinghpur, Odisha 751019",751019,, ,751003
115,Sundari Gosala,"7RVV+6FJ, Saheed Nagar, Bhubaneswar, Odisha 751007",751007,, ,751003
116,Odisha Gau-Seva Samiti,"Plot No: 2132/4312, Tara Smruti Building, Ravi Talkies Rd, near Punjab National Bank, Nageswar Tangi, Old Town, Bhubaneswar, Odisha 751002",751002,https://odishagauseva.org/,0674 295 3653,751003
117,JANAKI GOSALA,"Hanspal, Bhubaneswar, Odisha 752101",752101,, ,751003
118,ISKCON Goshala,"8W93+J89, Atala, Odisha 752101",752101,, ,751003
119,Iskcon Bhubaneswar Prasadam,"Unit 8, Gopabandhu Nagar, Bhubaneswar, Odisha 751008",751008,http://www.iskconbhubaneswar.in/,070081 74950,751003
120,Go Shala,"6QWW+4C7, Arya Village, Bhubaneswar, Odisha 751019",751019,, ,751019
121,Raghunath Nagar Goshala,"6QQP+762, Hanuman Temple Rd 2, Dumduma, Bhubaneswar, Ranasinghpur, Odisha 751019",751019,, ,751019
122,Vrindaban Gir Gaushala,"Anand vihar, Ghatikia, Khandagiri, Bhubaneswar, Odisha 751019",751019,, ,751019
123,Aama Goushala(ଆମ ଗୋଶାଳା ),"6QFG+H95, Village Road, Sijua, Patrapada, Chhotraypur, Odisha 751019",751019,, ,751019
124,Sundari Gosala,"7RVV+6FJ, Saheed Nagar, Bhubaneswar, Odisha 751007",751007,, ,751019
125,Mauli Goshala,"RXQC+5R, Bhatwadi, Maharashtra 422103",422103,, ,422112
126,sundarabai goshala,"R68H+XMP, Mith-Sagare, Maharashtra 422104",422104,, ,422112
