,Name,address,pincode,website,phone number,scrap
0,Gouri Goshala,"FW4G+9QF, Dhaban Susunia Road, Jhikuria, West Bengal 722137",722137,"https://www.google.com/search?sca_esv=00e485a4403845c8&sca_upv=1&rlz=1C1CHWL_enIN1089IN1089&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=ADLYWILtKagE78nPZDbQH8192XU34_p3MQ:1716484346537&q=gaushalas+at+722158#",097490 28111,722158
1,Gaushala Sangrur,"139, Gaushala Rd, Gobind Pura Colony, Sangrur, Punjab 148001",148001,, ,148001
2,Janal dhandoli Sullar Gaushala,"3WCJ+MCX, Sangrur, Punjab 148001",148001,,099152 10581,148001
3,Punjab Gaushala Mahasangh,"Dhuri Gate, Sangrur, Punjab 148001",148001,"https://www.google.com/search?sca_esv=00e485a4403845c8&sca_upv=1&rlz=1C1CHWL_enIN1089IN1089&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=ADLYWILtKagE78nPZDbQH8192XU34_p3MQ:1716484346537&q=gaushalas+at+148001#",0188 223 8223,148001
4,Gaushala,"G87X+FJ9, Unnamed Road, Suddala, Telangana 505185",505185,"https://www.google.com/travel/hotels/gaushalas%20at%20505172/entity/CgsIjMSTrtSdku6jARAB/prices?g2lb=4814050,4874190,4893075,4965990,10210223,72277293,72302247,72317059,72406588,72414906,72421566,72462234,72471280,72472051,72473841,72481458,72485658,72486593,72494250,72513513,72536387,72538597,72549171,72570850,72586336,72597926,72602734,72606236,72608658,72616110,72618893,72619172,72619383,72619935,72620306,72629584&hl=en-IN&gl=in&cs=1&ssta=1&q=gaushalas+at+505172&ts=CAEaKwopEicyJTB4M2JjZDJiMDVjNzc2YjlkYjoweGEzZGM0OGVkNDVjNGUyMGM&rp=OAJAAEgBwAEC&ictx=1&sa=X&ved=2ahUKEwjD8pCH1daGAxUXUWwGHZoxCyMQrK0LegQIFBAC", ,505172
5,GOMITHRA PRANGAN GOSHALA KARIMNAGAR,"G3CG+8WX, Goshala road, Deshrajpalle, Telangana 505451",505451,, ,505172
6,SRI VAIBHAVA LAXMI GOSHALA,"MGP4+X6C, Penchikalpet, Telangana 505188",505188,, ,505172
7,Amruthadhara Gaushala Karimnagar,"H5XG+FGP, Choppadandi, Telangana 505415",505415,, ,505172
8,Shri Krishna Gaushala,"Ghosh para, Rajapur, ps, Gaighata, West Bengal 743249",743249,,081678 37374,743290
9,Gosala Ground Sodepur,"P94J+8WV, Sodepur Rd, Mati Nagar, Rahara, Khardaha, West Bengal 700114",700114,, ,700131
10,Goshala,"MF3X+62F, Barpol, West Bengal 700135",700135,, ,700131
11,Surabhi Goshala,"G7JR+7QJ, Paharpur, Garden Reach, Kolkata, West Bengal 700088",700088,,099276 68182,700131
12,Shri Krishna Gaushala,"Ghosh para, Rajapur, ps, Gaighata, West Bengal 743249",743249,,081678 37374,743701
13,Shri Krishna Gaushala,"Ghosh para, Rajapur, ps, Gaighata, West Bengal 743249",743249,,081678 37374,743287
14,Goshala,"HG7C+H76, Ekajul, Patharghata, Newtown, Hudarait, West Bengal 700135",700135,http://iskconnewtown.com/, ,743425
15,Surabhi Goshala,"G7JR+7QJ, Paharpur, Garden Reach, Kolkata, West Bengal 700088",700088,,099276 68182,743425
16,Kharupala Post Office,"JJGG+5GH, Kharupala Rd, Parchandpur, West Bengal 743425",743425,https://www.indiapost.gov.in/,1800 11 2011,743425
17,Teghra Shree Gaushala,"FWMX+3G9, Munger Ghat - Rashidpur Rd, Teghra, Bihar 851114",851114,, ,743425
18,"Chakulia Gaushala, Pinjerpol Society","FPF9+4PF, Chakulia, Jharkhand 832301",832301,, ,743425
19,Radha Surabhi Goshala,"GFMV+239, Uttar Pradesh 281504",281504,http://www.radhasurabhi.com/,099276 68182,743425
20,"ISKCON Newtown, Kolkata","Shapoorji Bus Terminus, Ekajul, Action Area III, Newtown, Kolkata, Hudarait, West Bengal 700135",700135,http://iskconnewtown.com/,020 2447 5266,743425
21,Gaushala Atwa Ashiganwa,"F3R7+5XX, Unnamed Road, Kalwari Grant, Uttar Pradesh 241125",241125,, ,241405
22,Gaushala Chhachhrauli,"69X7+5PX, Haryana 135001",135001,, ,241405
23,Yogiraj shrikrishna gaushala (reg.),"Bainkheda Between rohta to malpura nahar, Uttar Pradesh 283102",283102,, ,241405
24,Radha Surabhi Goshala,"GFMV+239, Uttar Pradesh 281504",281504,http://www.radhasurabhi.com/,099276 68182,241405
25,Gaushala,"593R+WV4, Main Road, Firozabad, Firozabad, Uttar Pradesh 283203",283203,, ,241405
26,Dayalbagh Gaushala,"62G5+PV5, Anupam Bagh, DayalBagh, Agra, Uttar Pradesh 282005",282005,, ,241405
