,Name,address,pincode,website,phone number,scrap
0,Gaushala Bhairomunna,"V238+GJP, Ludhiana, Punjab 141112",141112,, ,141126
1,Gaushala,"WV98+734, Gaushala Rd, Old Madhopuri, Ludhiana, Punjab 141008",141008,,0161 274 2129,141126
2,Prachin Gaushala Part 2,"Tibba Rd, Raju Colony, Subhash Nagar, Ludhiana, Punjab 141007",141007,, ,141126
3,Sarv Dharm Gaushala,"Q2VF+PJ8, School Road, Doraha, Punjab 141122",141122,, ,141126
4,Gurdwara Dukh Niwaran Sahib Ludhiana Gaushala,"WRJV+PM9, Karabara Rd, New Sabji Mandi, Karabara Basti, Ludhiana, Punjab 141008",141008,,098766 00111,141126
5,Prachin Goshala,"WV98+449, Gaushala Rd, Near Division No. 3, Harbans Pura, Ludhiana, Punjab 141008",141008,, ,141126
6,gaushalA,"WV98+VHH, Unnamed Road, New Madhopuri, Sunder Nagar, Ludhiana, Punjab 141008",141008,, ,141126
7,Dandi Swami Gaulok Dham (Gaushala),"WQ8R+VF3, Radhe Shyam Colony, Dev Nagar, Ludhiana, Punjab 141001",141001,, ,141126
8,Sri Krishan Balram Gaushala,"RQCR+CG5, Unnamed Road, Punjab 141116",141116,,093169 18317,141126
9,"Dwarkapuri Gaushala , Tisk Usgao, Goa","C3HR+4GH, Usgaon, Tisca, Goa 403406",403406,, ,403115
10,Dhyan Foundation Gaushala Quitla,"4XJC+5RX, Kital, Goa 403703",403703,,094230 61537,403115
11,GORAKSH FOUNDATION GAUSHALA,"C265+M64 Oppsite Kamat tiles shop, Electricity Dept Staff Residential Colony, Ponda, Goa 403401",403401,, ,403115
12,Shri Hanuman Goushala,"GX56+C3Q, Orgao, Goa 403107",403107,, ,403115
13,Shree Pragati Gaushala,"W4WG+G9V, Parda Jani, Tehsil Aaspur, District Dungarpur, Nandli Sagora, Rajasthan 314021",314021,,076240 21508,314024
14,Shree Radhakrishna gaushala samiti vamasa,"Vamasa, Padardi Badi, Rajasthan 314032",314032,, ,314024
15,Arbuda Goushala,"VV67+MGR, Unnamed Road, Sirohi, Rajasthan 307001",307001,, ,307501
16,Shri Ganga Gir Gaushala,"HV63+C5F, Rajput Colony, near Madhav University Kalamagra, Abu Road, Rajasthan 307026",307026,, ,307501
17,"SHREE KRISHNA GAUSHALA, PAMERA","Pamera, Vahan, Rajasthan 307001",307001,,097723 82278,307501
18,Shree Krishna Gopal Gaushala Arathwara,,,, ,307501
19,GAUSHALA PART3,,, , ,307501
20,Gaushala Gogaji temple,"JVXC+96, Block No. 2, Rajasthan 307501",307501,, ,307501
21,Adeshwar Gaushala,"XV3Q+CGW, Kolar, Rajasthan 307043",307043, , ,307501
22,Shri Jublee Pinjrapol Gaushala,"M95P+4X4, Dhindhal road, Sadulpur, Rajgarh, Rajasthan 331023",331023,, ,307501
23,Ramdev Gaushala,"RG8G+QQ6, Bagru, Rajasthan 303007",303007,, ,307501
24,Gaushala,"Simasiya Road, Rajaldesar, Rajasthan 331802",331802,, ,307501
25,Shree Radhe Gir Gaushala (RAO),"894R+HQ8, Ranawas, Gujarat 385010",385010,,096946 37970,307501
26,Shri Krishna Gopal Gaushala,"Mohanpura, Vatika Rd, Jaipur, Rajasthan 303905",303905,,0141 236 8140,307501
27,Gaushala,"WQ4P+779, Shivaji Nagar, Suraj Nagar, Civil Lines, Jaipur, Rajasthan 302006",302006,, ,307501
28,Gangaram Gaushala,"QP7X+H2H, Unnamed Road, Krishnagunj, Rajasthan 307001",307001, , ,307501
29,Surbhi Ashram,"Swaminarayan Farms Moonghtala via Manpur, Abu Road, Rajasthan 307501",307501,"https://www.google.com/search?sca_esv=00e485a4403845c8&sca_upv=1&rlz=1C1CHWL_enIN1089IN1089&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=ADLYWILtKagE78nPZDbQH8192XU34_p3MQ:1716484346537&q=gaushalas+at+307501#",096364 68990,307501
30,Radha Krishna Goshala,"43HQ+QV4, Hanotiya, Rajasthan 325203",325203, , ,307501
31,Shri Ganga Gir Gaushala,"HV63+C5F, Rajput Colony, near Madhav University Kalamagra, Abu Road, Rajasthan 307026",307026,, ,307026
32,"SHREE KRISHNA GAUSHALA, PAMERA","Pamera, Vahan, Rajasthan 307001",307001,,097723 82278,307511
33,Arbuda Goushala,"VV67+MGR, Unnamed Road, Sirohi, Rajasthan 307001",307001,, ,307511
34,Shree Manorama golok Tirth NandGaon,"P9MP+MV7, Nandgaon Rd, Vadvaj, Rajasthan 307514",307514,http://www.gavyamart.com/manormatirth,077420 93200,307511
35,Shri Ganga Gir Gaushala,"HV63+C5F, Rajput Colony, near Madhav University Kalamagra, Abu Road, Rajasthan 307026",307026,, ,307511
36,Shree Jageshwar mahadev Gaushala,"MFWP+W4Q, Dantrai, Harni Amarpura, Rajasthan 307514",307514,, ,307511
37,Gaushala Gogaji temple,"JVXC+96, Block No. 2, Rajasthan 307501",307501,, ,307511
