,Name,address,pincode,website,phone number,scrap
0, , ,754034, , ,754034
1,Annapurna goshala,"C-44 New, Jagatpur Industrial Estate, Jagatpur, Odisha 754021",754021,https://www.annapurnagoshala.com/,083429 15235,753009
2,Basudha Gobardhan Goshala,"Banki Rd, Ragadipatna, Kotodwar, Odisha 754008",754008,,094372 76505,753009
3,Basudha Gobardhan Goshala,"Banki Rd, Ragadipatna, Kotodwar, Odisha 754008",754008,,094372 76505,751012
4,Sundari Gosala,"7RVV+6FJ, Saheed Nagar, Bhubaneswar, Odisha 751007",751007,, ,751012
5,Annapurna goshala,"C-44 New, Jagatpur Industrial Estate, Jagatpur, Odisha 754021",754021,https://www.annapurnagoshala.com/,083429 15235,751012
6,Basudha Gobardhan Goshala,"Banki Rd, Ragadipatna, Kotodwar, Odisha 754008",754008,,094372 76505,751032
7,ISKCON Goshala,"8W93+J89, Atala, Odisha 752101",752101,, ,751032
8,Annapurna goshala,"C-44 New, Jagatpur Industrial Estate, Jagatpur, Odisha 754021",754021,https://www.annapurnagoshala.com/,083429 15235,751032
9,SHREE SHREE GOVINDA JEW GOSHALA,"Mahabalapada, Sakhigopal, Muninda, Odisha 752014",752014,,090403 52052,751032
10,Nandini Goshala,"RWWG+4CP, Gaindol, Odisha 752002",752002,,096199 59592,751032
11,JANAKI GOSALA,"Hanspal, Bhubaneswar, Odisha 752101",752101,, ,751032
12,Sundari Gosala,"7RVV+6FJ, Saheed Nagar, Bhubaneswar, Odisha 751007",751007,, ,751032
13,Odisha Gau-Seva Samiti,"Plot No: 2132/4312, Tara Smruti Building, Ravi Talkies Rd, near Punjab National Bank, Nageswar Tangi, Old Town, Bhubaneswar, Odisha 751002",751002,https://odishagauseva.org/,0674 295 3653,751032
14,GEV Goshala,"MX4F+VCW, Unnamed Road, Maharashtra 421303",421303,https://www.govardhangoshala.com/cow-breeds-at-gev-goshala/, ,401703
15,Govardhan Goshala,"MX4F+PG7, Unnamed Road, Wada, Maharashtra 421303",421303,https://www.govardhangoshala.com/, ,401703
16,Shree Gopal Gaushala,"Angaon, Zila Bhiwandi, Taluka Thane Lamaj, Maharashtra 421302",421302,http://www.shreegopalgaushala.com/,083908 88737,401703
17,Shree Kalapurnam Jivdaya Dham (Palghar Gaushala),"PRC2+HH8, Nandore, Maharashtra 401404",401404,, ,401703
18,ASHIRWAD FARM AND GAUSHALA,"J3R7+4HQ, VILLAGE POSERI-PIMPLAS ROAD, near Dist, Wada, Maharashtra 421303",421303,,096650 42037,401703
19,Iskcon Neelachal Gaushala Talasari,"4W9F+4JV, Thakarpada, Maharashtra 401606",401606,, ,401703
20,ISKCON Gaushala Umbargaon,"4QGX+FCR, Gorakhpur, Maharashtra 401606",401606,, ,401703
21,Shri Damodar Foundation (Gaushala),"Brahman Faliya District :, Nani Tambadi, Gujarat 396195",396195,http://www.calvesnleaves.com/,093754 30008,401703
22,Jivdaya charitable trust pidagrust gaushala,"5Q7Q+94F, Umbergaon INA, Gujarat 396165",396165,, ,401703
23,Gaushala,"B-7, Kavesar, Thane West, Thane, Maharashtra 400607",400607,, ,401703
24,Shree radhe shyam gaushala,"F9PH+4JX, Ganeshwadi, Maharashtra 413305",413305,, ,401703
25,Calves n Leaves (Damodar Farms),"8XCX+PVC, Nani Tambadi, Gujarat 396193",396193,http://www.calvesnleaves.com/, ,401703
26,Matushree Tipudevi Devichandji Sanghvi Gaushala,"Khopoli Pali Road, Mukam Kasarwadi,, Nanose, Post Ghotawade., Sudhagad, Maharashtra 410205",410205,http://www.khopoligaushala.com/,098211 16816,401703
27,Vrundavan Gaushala,"Unnamed Road, Khadsupa, Gujarat 396433",396433,, ,401703
28,Kamdhenu Gaushala Sire Genetics,"Nakodar - Nurmahal Rd, Nurmahal, Punjab 144039",144039,http://kgsgnrm.com/,070874 41500,401703
29,Panjrapol Goshala,"HG3J+P4M, MH SH 19, Nayapura, Malegaon, Maharashtra 423203",423203,, ,401703
30,Gaushala,"XR3H+VHG, Marine Lines East, Panjarpole, Bhuleshwar, Mumbai, Maharashtra 400002",400002,, ,401703
31,Gopala Krishna GoShala,"534411, Unnamed, Chikili, Andhra Pradesh 761106",761106,,094404 87864,401703
32,Nadipathy Goshala,"Yrc Canal Road, Yeleswaram, Vanthada, Andhra Pradesh 533429",533429,http://www.nadipathygoshala.com/,088850 11326,401703
33,Shree radhe shyam gaushala,"F9GM+G3, Ganeshwadi, Maharashtra 413305",413305,, ,401703
34,GauAmrut Balkrishna Gaushala Pune 30,"1737, near Lokmanya Bal Gangadhar Tilak Road, behind Vyas Mandir, Madiwale Colony, Sadashiv Peth, Pune, Maharashtra 411030",411030,,097633 33932,411007
35,Sripad Gaushaala,"nr. Wakad Chowk Road, Bhujbal Vasti, Wakad, Pune, Pimpri-Chinchwad, Maharashtra 411057",411057,, ,411007
36,Gaushala / Cow Shelter,"HWC6+JQ4, Mhada Colony, Viman Nagar, Pune, Maharashtra 411014",411014,, ,411007
37,Shrikrishna Goshala,"Sakhare Vasti Rd, Hinjawadi Village, Hinjawadi, Pune, Pimpri-Chinchwad, Maharashtra 411057",411057,, ,411007
38,Shrimad Vasudev Goshala,"Gate no-2, Katraj Dairy, Satara Road, Opp.Rajiv Gandhi Udyan, Katraj, Pune, Maharashtra 411046",411046,https://shrimadvasudevgosh.wixsite.com/goshala,095030 42204,411007
39,BSDT's Kamadhenu Goshala,"Vishwashanti Dham, Bharatiya Sanskriti Darshan Trust, Kesnand Rd, Wagholi, Pune, Maharashtra 412207",412207,, ,411007
40,Gaupriya Goshala,"Gat No 641 Bhokarmal, Garade, Maharashtra 412301",412301,http://gaupriyafoundation.org/, ,411007
41,Goshala,"MWJ2+QQC, Thakur Vasti, Maharashtra 412105",412105,, ,411007
42,"Nandini Goshala,","331,, Kondhanpur - Kalyan Rd, Mordhari, Maharashtra 411025",411025,, ,411007
43,Amritadhara Gir Gaushala,"TULSI UPHAR, DP Rd, opposite Gaikwad Petrol Pump, Marutirao Gaikwad Nagar, Aundh, Aundha, Pune, Maharashtra 411007",411007,, ,411007
44,Balakrushnavan Desi Dudh Dairy,"Shop No 1, Jq25+Hx3, Wakad - Bhosari BRTS Rd, Choudhary Park, Shankar Kalat Nagar, Road, Pimpri-Chinchwad, Maharashtra 411057",411057,,097652 27474,411007
45,GauAmrut Balkrishna Gaushala Pune 30,"1737, near Lokmanya Bal Gangadhar Tilak Road, behind Vyas Mandir, Madiwale Colony, Sadashiv Peth, Pune, Maharashtra 411030",411030,,097633 33932,411008
46,Shri Shiv Foundation Gaushala,"505, West Wing, Aurora Towers, MG Road, Camp, Pune, Maharashtra 411001",411001,,074200 55061,411008
47,Gaushala / Cow Shelter,"HWC6+JQ4, Mhada Colony, Viman Nagar, Pune, Maharashtra 411014",411014,, ,411008
48,KENDRAI GOSHALA,"near Ram Mandir, Sudarshan Nagar, Chinchwad, Pimpri-Chinchwad, Maharashtra 411033",411033,,099609 09009,411008
49,"Shri Shivsamartha Bhagwan Agrasen Goshala Office, Yerwada Pune","HV3P+62M, Ganesh Nagar, Yerawada, Pune, Maharashtra 411006",411006,, ,411008
50,BSDT's Kamadhenu Goshala,"Vishwashanti Dham, Bharatiya Sanskriti Darshan Trust, Kesnand Rd, Wagholi, Pune, Maharashtra 412207",412207,, ,411008
51,"Nandini Goshala,","331,, Kondhanpur - Kalyan Rd, Mordhari, Maharashtra 411025",411025,, ,411008
52,Pramod Gopika Goshala,"Shop No 1, Lokmanya Colony, Kothrud, Pune, Maharashtra 411038",411038,,088302 01961,411008
53,Annapurna goshala,"C-44 New, Jagatpur Industrial Estate, Jagatpur, Odisha 754021",754021,https://www.annapurnagoshala.com/,083429 15235,753012
54,Basudha Gobardhan Goshala,"Banki Rd, Ragadipatna, Kotodwar, Odisha 754008",754008,,094372 76505,753012
55,Adyapith Gaushala,"M967+FJ3, Dakshineswar, Kolkata, West Bengal 700076",700076,, ,712235
56,Gosala Ground Sodepur,"P94J+8WV, Sodepur Rd, Mati Nagar, Rahara, Khardaha, West Bengal 700114",700114,, ,712235
57,Calcutta Pinjrapole Society Liluah Gosala,"58, Netaji Subhas Rd, near Gopal wajan kanta, Patuapara, Liluah, Howrah, West Bengal 711204",711204,,033 2268 6451,712235
58,Alsisar - Gaushala & Janakalyan Trust,"2, Digambar Jain Temple Rd, Raja Katra, Bara Bazar, Jorasanko, Kolkata, West Bengal 700001",700001,http://www.alsisar.org/,033 2272 9310,712235
59,Guruvayoor Devasom Goshala(Cow Farm),"Kaveed, Kerala 680505",680505,, ,680524
60,"SRI NIRVANA GAUSHALA, THRISSUR","P.O, MATHRUHRIDAYAM, T.K. Road, Ayyanthole, Thrissur, Kerala 680003",680003,http://chalonirvanagaushalathrissur.com/,085890 85550,680524
61,Guruvayoor Devasom Goshala(Cow Farm),"Kaveed, Kerala 680505",680505,, ,680516
62,S.R. Swadeshi Gaushala,"Eksar Village, Eksar, Borivali West, Mumbai, Maharashtra 400091",400091,, ,400058
63,Gaushala,"3, Kishan Zakeria Rd, near Satra Traders, Malad, Navy Colony, Mamledarwadi, Malad West, Mumbai, Maharashtra 400064",400064,, ,400058
