,Name,address,pincode,website,phone number,scrap
0,Amrithadhara Gaushala,"CMMW+9XV, Kottenkudy, Kerala 689588",689588,, ,689112
1,Govardhani goshala,"PQ5F+5H, Chittur East, Kerala 678101",678101,https://www.instagram.com/govardhanigoshala?igsh=OGQ5ZDc2ODk2ZA==, ,689112
2,Goshala cattlefeeds,"8HWC+H44 KALEECKAL Thiruvanvandoor, Eramallikkara, Chengannur, Kerala 689109",689109, , ,689112
3,BANSURI GAUSHALA,"Sree Bhuvaneswari Temple Road Aruvappulam, Konni, Kerala 689691",689691,"https://www.google.com/search?sca_esv=00e485a4403845c8&sca_upv=1&rlz=1C1CHWL_enIN1089IN1089&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=ADLYWILtKagE78nPZDbQH8192XU34_p3MQ:1716484346537&q=gaushalas+at+689112#",098249 79991,689112
4,Amrithadhara Gaushala,"CMMW+9XV, Kottenkudy, Kerala 689588",689588,, ,689587
5,Mahalekshmi Goshala മഹാലക്ഷ്മി ഗോശാല,"CJGF+59C, Thiruvalla, Mundiappally, Thiruvalla, Kerala 689581",689581,http://mahalekshmigoshala.com/,098472 16518,689587
6,Goshala,"Goshala Rd, Ferns City, Garudachar Palya, Mahadevapura, Bengaluru, Karnataka 560048",560048,, ,560087
7,GOSHALA,"VPMH+CXH, Sulikunte Chokkasndra Road, Kodathi, Bengaluru, Karnataka 560099",560099,, ,560087
8,Sri Sri Gaushala - Art of Living International Center,"Inside Art of Living International Center, 21st KM Kanakapura Main Road, Udayapura Post, South, Bengaluru, Karnataka 560082",560082,https://vaidicpujas.org/gaushala/, ,560087
9,Shri krishna gaushala,"4M44+QVR, Unnamed Road, Mitganahalli, Bellahalli, Bengaluru, Karnataka 562149",562149,, ,560087
10,Sri Sadguru Goshala,"4F4R+F72, Kumbarahalli Cross, Bengaluru, Karnataka 560090",560090,, ,560087
11,Bhavani Shankara Goshala,"33, Allwin Bakery Compound, papareddy palya, Srigandhada Kaval, Marilingappa Extension, Annapurneshwari Nagar, Bengaluru, Karnataka 560072",560072,https://bhavani-shankara-goshala.business.site/?utm_source=gmb&utm_medium=referral, ,560087
12,Sri Shyam gaushala,"SY NO 22/2 Bannerghatta Rd, Bannerughatta, Bengaluru, Karnataka 560083, India, near khatu shyam temple, opp to bannerghatta national park, Bengaluru, Karnataka 560083",560083,http://ssgblr.com/,094480 78357,560087
13,RadhaGovinda Goshala,"Radhagovindagoshala, 130 nelagulli village130, village, Nelaguli, Bengaluru, Karnataka 560082",560082,,080959 10888,560087
14,Sri Lakshmi Goshala. A Place to get pure Desi (A2) cow milk.,"Haralur, Karnataka 562114",562114,,098860 86868,560087
15,"SRI KRISHNA GAUSHALA, DODDA GUBBI","3MC6+CG3, K.R.C ROAD, MAINROAD, near AUTO RAJA ASHRAM, Doddagubbi, KOTNUR, Bengaluru, Karnataka 560077",560077,, ,560087
16,ISKCON Temple & Goshala Bengaluru,"1st Block, Kacharakanahalli, Thanisandra Main Rd, 1st Stage, HBR Layout, Bengaluru, Karnataka 560043",560043,https://iskcontemple.org/,063669 00489,560087
17,GoShaala Nammasampradaya,"WQ37+2P2, Unnamed Road, Bengaluru, Karnataka 562125",562125,, ,560087
18,Shri Gopal Goshala,"C7PG+5F9, Badkal- Suraj Kund Road, Near Delite Garden, ADB PWD Colony, Sector 16A, Faridabad, Haryana 121002",121002,,099904 61788,121004
19,Shri Gopal Goshala,"C7PG+4FW, Pali Rd, Haryana 121003",121003,,099904 61788,121004
20,Goshala,"575, 23, Khail Mohalla, Palwal, Haryana 121102",121102,, ,121107
21,Shri Krishna Gaushala,"X96Q+GPV, Maroli, Haryana 121106",121106,, ,121107
22,Shri Gopal Goshala,"C7PG+5F9, Badkal- Suraj Kund Road, Near Delite Garden, ADB PWD Colony, Sector 16A, Faridabad, Haryana 121002",121002,,099904 61788,121107
23,Gaushala,"F87P+7XR, Tilpat, Faridabad, Haryana 121003",121003,, ,121107
24,Goshala Saidpur,"Main, Delhi Road, Saidpur, Nizampur Khurd, Haryana 131402",131402,, ,121107
25,Gaushala Faridabad,"35, Jeevan Nagar, Old Faridabad, Faridabad, Haryana 121003",121003,, ,121107
26,Jhanjharvan Gaushala,"XC97+6P6, Maroli, road, Khambi, Haryana",aryana,, ,121107
27,Baba Golamdas gaushala,"X96Q+V88, Haryana 121106",121106,, ,121107
28,Shri Krishan Vasudev Gaushala,"National Highway 71-A, Mundlana, Sonepat, Haryana 131306",131306,,092557 41488,121107
29,Gaushala Dighal,"gaushala, Dighal, Haryana 124107",124107,,090502 44111,121107
30,श्रीवृन्दे गौशाला,"5889+343, Alapur, Haryana 121102",121102,, ,121107
31,Shri Krishan Gaushala,"Sultanpur Dabas, kanjhawala, road, Bawana, Delhi 110039",110039,https://www.shrikrishangaushala.org/history/, ,121107
32,Shree Krishna Parnami Gaushala & Nandishal,"9J22+CVX, Bhoda Hoshnak, Haryana 125047",125047,,070151 20340,121107
33,Shri Ram Mandir Gau Seva Trust,"Palwal, Haryana 121102",121102,http://www.shrirammandirgausevatrust.com/, ,121107
34,Gaushala Tigaon,"89JX+8GJ, Tigaon, Haryana 121101",121101,, ,121107
35,Shri Prachin GauShala Jhajjar,"JM56+94W, Ramnagar Colony, Jhajjar, Haryana 124103",124103,,01251 252 731,121107
36,"Pt Anantram Shastri ,Sanatan Mahavir dal Gaushala Mandir","48WF+57P, Near Sarai Bazar, Khail Mohalla, Palwal, Haryana 121102",121102,, ,121103
37,Shri Goverdhan Gaushala,"63CM+FP9, Atta, Haryana 122103",122103,, ,121103
38,Mata Mansa Devi Gaushala Gaudhaam,"PV94+7VJ, near Luxmi Bhawan, Mata, Mansa Devi Complex, Mansa Devi Temple Complex, Panchkula, Haryana 134109",134109,, ,160101
39,Gaushala,"Gaushala, 3251, Sarovar Path, 45D, Sector 45, Chandigarh, 160047",160047,, ,160101
