,Name,address,pincode,website,phone number,scrap
0,Baba Mohan Ram Gaushala,"5RJW+RHW, Baba Mohan Ram Mandir Marg, Kali Kholi, Rajasthan 301019",301019,, ,301019
1,Baba Mohan Ram Seva Trust (Chaproli Dadri- Ghaziabad Walo k Dharamshala),"5 number Dharamshala opposite Gaushala gate number-1 Mohan Ram Kali Kholi milakpur Gurjar village, Bhiwadi, Rajasthan 301019",301019,"https://www.google.com/travel/hotels/gaushalas%20at%20301019/entity/CgsI15qyvaOGoOfBARAB/prices?g2lb=4814050,4874190,4893075,4965990,72277293,72302247,72317059,72406588,72414906,72421566,72462234,72471280,72472051,72473841,72481458,72485658,72486593,72494250,72513513,72536387,72538597,72549171,72570850,72582855,72597756,72597926,72602734,72614662,72616110,72618896,72619172,72619383,72620306,72629582&hl=en-IN&gl=in&ssta=1&q=gaushalas+at+301019&ts=CAEaKwopEicyJTB4MzkwZDM3ODhmOTdiMjhlMzoweGMxY2U4MDMyMzdhYzhkNTc&rp=OAJAAEgBwAEC&ictx=1&sa=X&ved=2ahUKEwjDwNvmp8uGAxWoZ2wGHfxAAcAQrK0LegQIAxAC", ,301019
2,Shree krishna Gaushala,"6V9G+9P6, Unnamed Road, Haryana 122015",122015,, ,301019
3,"Shri Shyam Gaushala, Sidhrawali","6RWP+FH, Gurjar Ghatal, Haryana 122015",122015,, ,301019
4,Shri Shyam Giri Goshala,"6W4M+P3C, Tauru Bypass Rd, Didara, Nijampur Tauru, Haryana 122015",122015,,094661 37893,301019
5,Shree Krishan Goshala,"4Q8H+586, Khushkhera, Rajasthan 301707",301707,, ,301019
6,Yadav Gaushala,"6RWP+3V, Gurjar Ghatal, Haryana 122015",122015,, ,301019
7,गौशाला,"6QCJ+JVV, Unnamed Road, Alamgirpur, Haryana 123110",123110,, ,301019
8,CK Properties,"5 number Dharamshala opposite Gaushala gate number-1 Mohan Ram Kali Kholi, Sector 24, milakpur Gurjar, Bhiwadi, Rajasthan 301019",301019, , ,301019
9,Shree Shyam Gaushala pachgaon chandla dungerwas,"8V3W+GPP, Pachgaon, Chandla Dungerwas, Haryana 122413",122413,, ,301019
10,Baba Mohan Ram Gaushala,"5RJW+RHW, Baba Mohan Ram Mandir Marg, Kali Kholi, Rajasthan 301019",301019,, ,301018
11,Shree Krishan Goshala,"4Q8H+586, Khushkhera, Rajasthan 301707",301707,, ,301018
12,Shri Shyam Giri Goshala,"6W4M+P3C, Tauru Bypass Rd, Didara, Nijampur Tauru, Haryana 122015",122015,,094661 37893,301018
13,Shree krishna Gaushala,"6V9G+9P6, Unnamed Road, Haryana 122015",122015,, ,301018
