,Name,address,pincode,website,phone number,scrap
0,Dhor Dairy,"Jatrapur, Nilambazar, Assam 788722",788722,,060017 40143,788722
1,Shamim Uddin,"Rd, Nilambazar, Brahmanshasan Pt, Assam 788722",788722,,094012 51029,788722
2,Kabir Uddin,"Rd, Ranibari, Meda Pt II, Assam 788722",788722,,060005 70967,788722
3,Kumar Shop,"Rd, Nilambazar, Nayagram Pt II, Assam 788722",788722,,098644 87491,788722
4,Dhar Shop,"Nilambazar, Rd, Latirghat, Assam 788722",788722,,086382 82535,788722
5,Sobnom Store,"Road, Jatrapur, Nilambazar, Assam 788722",788722,"https://www.google.com/search?sca_esv=00e485a4403845c8&sca_upv=1&rlz=1C1CHWL_enIN1089IN1089&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=ADLYWILtKagE78nPZDbQH8192XU34_p3MQ:1716484346537&q=dairies+at+788722+in+india&pccc=1#",070866 22001,788722
6,Sabbir Ahmed,"Road, Jatrapur, Nilambazar, Assam 788722",788722,,098624 37159,788722
7,Lucky Enrerprise,"Nilambazar, Rd, Farampasha Pt I, Assam 788722",788722,,099541 61284,788722
8,Asadur Rahmam,"Road, Jatrapur, Nilambazar, Assam 788722",788722,"https://www.google.com/search?sca_esv=00e485a4403845c8&sca_upv=1&rlz=1C1CHWL_enIN1089IN1089&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=ADLYWILtKagE78nPZDbQH8192XU34_p3MQ:1716484346537&q=dairies+at+788722+in+india&pccc=1#",091011 23413,788722
9,Chapala Stores,"Longai Road, Jatrapur, Karimganj, Nilambazar, Assam 788710",788710,"https://www.google.com/search?sca_esv=00e485a4403845c8&sca_upv=1&rlz=1C1CHWL_enIN1089IN1089&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=ADLYWILtKagE78nPZDbQH8192XU34_p3MQ:1716484346537&q=dairies+at+788722+in+india&pccc=1#",060035 68169,788722
10,No,"Station Rd, Karimganj, Assam 788710",788710,,093650 83144,788722
11,Akhlas UDDIN,"Ranibari, Meda Pt II, Assam 788722",788722,"https://www.google.com/search?sca_esv=00e485a4403845c8&sca_upv=1&rlz=1C1CHWL_enIN1089IN1089&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=ADLYWILtKagE78nPZDbQH8192XU34_p3MQ:1716484346537&q=dairies+at+788722+in+india&pccc=1#",078964 38851,788722
12,Ali Shop,"Longai Road, Karimganj, Nagkapan Pt I, Assam 788712",788712,"https://www.google.com/search?sca_esv=00e485a4403845c8&sca_upv=1&rlz=1C1CHWL_enIN1089IN1089&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=ADLYWILtKagE78nPZDbQH8192XU34_p3MQ:1716484346537&q=dairies+at+788722+in+india&pccc=1#",070867 91509,788722
