,Name,address,pincode,website,phone number,scrap
0,Bhagavan Sri Mahavir Goshala,"GW78+2GG, Tamil Nadu 603306",603306,, ,603306
1,Govindan Goshala,"68,Goodalur Village, Madurantakam, Taluk, Guddalur, Tamil Nadu 603306",603306,http://goseva.net/aboutgovindan.aspx,044 2489 9926,603306
2,Shree Gopal Gaushala,"FWC2+48X, Dibrugarh, Assam 786003",786003,, ,791102
3,Tinsukia Gaushala,"F9G8+MMF, Jyoti Nagar, Digboi, No-2 Patia Pathar Gaon, Assam 786125",786125,, ,791102
4,Amritsar Pinjarapole Gaushala,"JWF8+PQ4, Maqubal Rd, GT Road Main Focal Point, Ghee Mandi, Focal Point Industrial Area, Amritsar, Punjab 143001",143001,"https://www.google.com/search?sca_esv=00e485a4403845c8&sca_upv=1&rlz=1C1CHWL_enIN1089IN1089&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=ADLYWILtKagE78nPZDbQH8192XU34_p3MQ:1716484346537&q=gaushalas+at+143301#",0183 255 2347,143301
5,Pinjrapol Gaushala,"JVFM+Q5F, Town Hall, Katra Ahluwalia, Amritsar, Amritsar Cantt., Punjab 143006",143006,, ,143301
6,Gau Shala Baba Bhore Wala,"Lohgarh Bridge, Gaushala Baba Bhore Wala, Opp. Shree Lakshmi Narayan Ayurvedic College, Outside, GateAmritsar, Punjab 143001",143001,, ,143301
7,Shri Gopal ji Gaushala,"5W7W+P9R, Harike, Punjab 143412",143412,,073552 70008,143301
8,Sheer Gopal Godham Mandir,"Gaushala , old focal point Valla road, Punjab 143002",143002, , ,143301
9,Sati Laxmi Devi Gaushala,"R676+X46, Guru Teg Bahadur Colony, Batala, Punjab 143505",143505,, ,143301
10,गौशाला,"JVM7+9WG, Guru Arjun Nagar, Putligarh, Amritsar, Punjab 143001",143001,, ,143301
11,Avtar Gaushala Fatehwal,"53F3+C2, Gamewal, Punjab 144626",144626,, ,143408
12,Shri Gopal ji Gaushala,"5W7W+P9R, Harike, Punjab 143412",143412,,073552 70008,143408
13,Harry Chohla,"7X5W+X4M, Chohla Sahib, Punjab 143408",143408,, ,143408
14,Pinjrapol Gaushala,"JVFM+Q5F, Town Hall, Katra Ahluwalia, Amritsar, Amritsar Cantt., Punjab 143006",143006,, ,143411
15,Sati Laxmi Devi Gaushala,"R676+X46, Guru Teg Bahadur Colony, Batala, Punjab 143505",143505,, ,143411
16,Gaushala Pinjara Pole,"8HRJ+XX9, Tanda Rd, Near Devi Talab Mandir, Shiv Nagar, Industrial Area, Jalandhar, Punjab 144001",144001,, ,143411
17,SHRI KRISHNA GAUSHALA,"Shri Krishna Gaushala, Disposal Rd, Agwar Gujjran, Jagraon, Punjab 142026",142026,http://shrikrishnagaushalajgn.com/,098156 55004,143411
18,Gaushala,"9H7P+R2H, Bulandpur Road, Transport Nagar, Jalandhar, Punjab 144012",144012,,0181 260 0491,143411
19,Gaushala,"WV98+734, Gaushala Rd, Old Madhopuri, Ludhiana, Punjab 141008",141008,,0161 274 2129,143411
20,Gaushala,"GWX6+39P, Bhawani Nager, Hoshiarpur, Punjab 146001",146001,,0188 223 8223,143411
21,Gaushala DTM,"8HWJ+68V, Kusth Ashram DTM Hospital road, Industrial Area, Jalandhar, Punjab 144004",144004,, ,143411
22,Gaushaala,"29WW+M4V, Trimmu Rd, Sant Nagar, Hemrajpur, Gurdaspur, Punjab 143521",143521,, ,143411
23,Sri Krishan Balram Gaushala,"RQCR+CG5, Unnamed Road, Punjab 141116",141116,,093169 18317,143411
24,SHRI GOPAL GAUSHALA AUR ANUSANDHAN KENDAR,"FW3V+HX6, Road, Bachre, Pandori Gola, Tarn Taran Sahib, Punjab 143401",143401, , ,143411
25,Shri Radhe Krishan Gaushala,"CWXM+MG5, Near Gill Palace, Guru Amardas avenue, Goindwal Road, Mata Kolan Colony, St. Marry Colony, Tarn Taran Sahib, Punjab 143401",143401, , ,143411
26,Gopal Gaon Dham Gaushala,"Old, Mandi Rd, Sultanpur Lodhi, Punjab 144626",144626,http://sultanpurlpdhionline.com/, ,143411
27,Shri Gopal ji Gaushala,"5W7W+P9R, Harike, Punjab 143412",143412,,073552 70008,143412
28,Avtar Gaushala Fatehwal,"53F3+C2, Gamewal, Punjab 144626",144626,, ,143412
29,paying guest Female only Gaushala Road Jandiala Guru,"Jandiala Guru, Jandiala, Punjab 143115",143115,, ,143149
30,Amritsar Pinjarapole Gaushala,"JWF8+PQ4, Maqubal Rd, GT Road Main Focal Point, Ghee Mandi, Focal Point Industrial Area, Amritsar, Punjab 143001",143001,"https://www.google.com/search?sca_esv=00e485a4403845c8&sca_upv=1&rlz=1C1CHWL_enIN1089IN1089&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=ADLYWILtKagE78nPZDbQH8192XU34_p3MQ:1716484346537&q=gaushalas+at+143149#",0183 255 2347,143149
31,Pinjrapol Gaushala,"JVFM+Q5F, Town Hall, Katra Ahluwalia, Amritsar, Amritsar Cantt., Punjab 143006",143006,, ,143149
32,Sri Gokul Gaushala,"Unnamed Road, Birbalpura, Punjab 143601",143601,, ,143149
33,Shri Gopal ji Gaushala,"5W7W+P9R, Harike, Punjab 143412",143412,,073552 70008,143149
34,गौशाला,"JVM7+9WG, Guru Arjun Nagar, Putligarh, Amritsar, Punjab 143001",143001,, ,143149
35,Sri Gokul Gaushala,"Unnamed Road, Birbalpura, Punjab 143601",143601,, ,143502
36,Goshala Majitha,"QX56+WCW, Majitha, Punjab 143601",143601,, ,143502
37,Pinjrapol Gaushala,"JVFM+Q5F, Town Hall, Katra Ahluwalia, Amritsar, Amritsar Cantt., Punjab 143006",143006,, ,143502
38,Kamdhenu Gau Dhaam Trust,"Kamdhenu Gau Dhaam Trust, Municipal Corporation Gaushaala, Naraingarh, Chheharta, Amritsar, Punjab 143001",143001,https://kamdhenugaudhaam.org/,098152 51227,143502
39,paying guest Female only Gaushala Road Jandiala Guru,"Jandiala Guru, Jandiala, Punjab 143115",143115,, ,143502
40,"Kamdhenu Gaushala, Divya Gram","Nurmahal Bypass, Uppal Jagir, Punjab 144039",144039,http://www.djjs.org/kamdhenu/, ,143502
41,Shri Gopal ji Gaushala,"5W7W+P9R, Harike, Punjab 143412",143412,,073552 70008,143502
42,गौशाला,"JVM7+9WG, Guru Arjun Nagar, Putligarh, Amritsar, Punjab 143001",143001,, ,143502
43,Amritsar Pinjarapole Gaushala,"JWF8+PQ4, Maqubal Rd, GT Road Main Focal Point, Ghee Mandi, Focal Point Industrial Area, Amritsar, Punjab 143001",143001,"https://www.google.com/search?sca_esv=00e485a4403845c8&sca_upv=1&rlz=1C1CHWL_enIN1089IN1089&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=ADLYWILtKagE78nPZDbQH8192XU34_p3MQ:1716484346537&q=gaushalas+at+143502#",0183 255 2347,143502
44,"Rajnagar Gaushala, Dharmanagar Tripura (Kanti Gopal Debnath)","849F+7VM, Laxmipur, Rajnagar, Tripura 799260",799260,, ,799264
45,Baba gorakhnath goshala,"849F+8WP, Laxmipur, Rajnagar, Tripura 799260",799260,http://babagorakhnathgoshala.in/, ,799264
46,"Rajnagar Gaushala, Dharmanagar Tripura (Kanti Gopal Debnath)","849F+7VM, Laxmipur, Rajnagar, Tripura 799260",799260,, ,799263
47,Baba gorakhnath goshala,"849F+8WP, Laxmipur, Rajnagar, Tripura 799260",799260,http://babagorakhnathgoshala.in/, ,799263
48,"Rajnagar Gaushala, Dharmanagar Tripura (Kanti Gopal Debnath)","849F+7VM, Laxmipur, Rajnagar, Tripura 799260",799260,, ,799280
49,Baba gorakhnath goshala,"849F+8WP, Laxmipur, Rajnagar, Tripura 799260",799260,http://babagorakhnathgoshala.in/, ,799280
50,Parashurama Kunda Gaushala,"V9G5+CRP, Wakro, Arunachal Pradesh 792102",792102,, ,792103
51,Tinsukia Gaushala,"F9G8+MMF, Jyoti Nagar, Digboi, No-2 Patia Pathar Gaon, Assam 786125",786125,, ,792103
52,Parashurama Kunda Gaushala,"V9G5+CRP, Wakro, Arunachal Pradesh 792102",792102,, ,792110
53,Sri Gokul Gaushala,"Unnamed Road, Birbalpura, Punjab 143601",143601,, ,143406
54,Pinjrapol Gaushala,"JVFM+Q5F, Town Hall, Katra Ahluwalia, Amritsar, Amritsar Cantt., Punjab 143006",143006,, ,143406
55,Kamdhenu Gau Dhaam Trust,"Kamdhenu Gau Dhaam Trust, Municipal Corporation Gaushaala, Naraingarh, Chheharta, Amritsar, Punjab 143001",143001,https://kamdhenugaudhaam.org/,098152 51227,143406
56,Sati Laxmi Devi Gaushala,"R676+X46, Guru Teg Bahadur Colony, Batala, Punjab 143505",143505,, ,143406
57,Shri Gopal ji Gaushala,"5W7W+P9R, Harike, Punjab 143412",143412,,073552 70008,143406
58,SHRI GOPAL GAUSHALA AUR ANUSANDHAN KENDAR,"FW3V+HX6, Road, Bachre, Pandori Gola, Tarn Taran Sahib, Punjab 143401",143401, , ,143406
59,Shri Radhe Krishan Gaushala,"CWXM+MG5, Near Gill Palace, Guru Amardas avenue, Goindwal Road, Mata Kolan Colony, St. Marry Colony, Tarn Taran Sahib, Punjab 143401",143401, , ,143406
60,Amritsar Pinjarapole Gaushala,"JWF8+PQ4, Maqubal Rd, GT Road Main Focal Point, Ghee Mandi, Focal Point Industrial Area, Amritsar, Punjab 143001",143001,"https://www.google.com/search?sca_esv=00e485a4403845c8&sca_upv=1&rlz=1C1CHWL_enIN1089IN1089&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=ADLYWILtKagE78nPZDbQH8192XU34_p3MQ:1716484346537&q=gaushalas+at+143406#",0183 255 2347,143406
61,SHRI SHYAM UPKAR GAUSHALA,"C827+4R6, VILLAGE-TIBARA ,POST- VIJAYPURA, Thanagazi, Rajasthan 301024",301024,, ,301027
62,Dhameda dham Gaushala,"G76F+V8M, Rundh Narayanpur, Rajasthan 301024",301024,, ,301027
63,Hare Krishna Goshala,"Near, Hare Krishna Rd, Indra Colony, Alwar, Rajasthan 301001",301001,,098281 21335,301027
64,Baba Ram Das Goshala,"H4W8+44G, Kirarod, Rajasthan 303107",303107,, ,301027
65,Gokul goshala Road alwar,"JJ4P+VM9, Katori wala tibara nangla, Raisees",aisees,, ,301027
66,Shiv Yog Gaushala,"MRPF+XH7, Garhi, Rajasthan 301025",301025,, ,301027
67,Shri Kishanlal shastri gaushala,"Tatarpur, Rajasthan 301404",301404,, ,301027
68,Shri Govind ki Gaiya Sewarth Godham,"3W8X+878, Dhand, Rajasthan 302028",302028,https://govindkigaiya.com/,099501 75726,301027
69,Shree radha krishn gaushala neemuchana,"J72M+RW5, Unnamed Road, Khera, Rajasthan 301402",301402,, ,301027
70,Baba Shri Khetanath Gaushala Mundanwara Khurd,"Mundanwara Khurd, Teh, Mundawar, Rajasthan 301427",301427,https://ncrsoftwareservice.com/baba-shri-khetanath-gaushala/,099901 86306,301027
71,Baba Khetanath Gaushala,"Q956+576, Goonta, Rajasthan 301402",301402,,096655 74558,301027
72,Shree Krishan Goshala,"4Q8H+586, Khushkhera, Rajasthan 301707",301707,, ,301027
73,Shri Hari Gopal Gau Seva Samiti,"4889+3R3, Village-Dhirodha, gola ka bas(near Bhangarh, fort, Rajgarh, Rajasthan 301410",301410,"https://www.google.com/search?sca_esv=00e485a4403845c8&sca_upv=1&rlz=1C1CHWL_enIN1089IN1089&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=ADLYWILtKagE78nPZDbQH8192XU34_p3MQ:1716484346537&q=gaushalas+at+301027#",075689 86259,301027
74,NANDI GAUSHALA RAJGARH,"6JPG+RPW, Fatehpur Colony, Rajgarh, Rajgarh rural, Rajasthan 301408",301408,, ,301408
75,भौरंगी धाम गौशाला,"6JVH+MWG, Fatehpur Colony, Rajgarh, Rajgarh rural, Rajasthan 301408",301408,, ,301408
76,Shree Shyam gaushala seva samiti jhareda,"gate no .1, MIA Rd, near metso company, Matsya Industrial Area, Jhareda, Alwar, Rajasthan 301030",301030,,086191 45005,301030
77,Shri Digambar Jain Sudhasagar Gaushala,"GQJ3+H2W, Sohna - Alwar Rd, Bagar Meo, Nangla Banjeerka, Rajasthan 301030",301030,http://sudhasagargaushala.org/, ,301030
78,Hare Krishna Goshala,"Near, Hare Krishna Rd, Indra Colony, Alwar, Rajasthan 301001",301001,,098281 21335,301030
79,Gokul goshala Road alwar,"JJ4P+VM9, Katori wala tibara nangla, Raisees",aisees,, ,301030
80,Shree shavarjanike Gaushalla (Regd:) Sewa Dhame Taj Mandi Station Road ALWAR,"Jawali Bhawan Colony, Alwar, Rajasthan 301001",301001,, ,301030
81,Shri Digambar Jain Sudhasagar Gaushala,"GQJ3+H2W, Sohna - Alwar Rd, Bagar Meo, Nangla Banjeerka, Rajasthan 301030",301030,http://sudhasagargaushala.org/, ,321633
82,Shree Shyam gaushala seva samiti jhareda,"gate no .1, MIA Rd, near metso company, Matsya Industrial Area, Jhareda, Alwar, Rajasthan 301030",301030,,086191 45005,321633
83,Hare Krishna Goshala,"Near, Hare Krishna Rd, Indra Colony, Alwar, Rajasthan 301001",301001,,098281 21335,321633
84,Gokul goshala Road alwar,"JJ4P+VM9, Katori wala tibara nangla, Raisees",aisees,, ,321633
