,Name,address,pincode,website,phone number,scrap
0,Vidhatri Dharuni Goshala,"XMRF+M7R, Nelaturu, Andhra Pradesh 534342",534342,, ,534350
1,Sri Bhagavan Mahaveer Jain Goshala,"3QX3+2MQ, Mirthipadu Main Rd, Bobbillanka, Andhra Pradesh 533293",533293,, ,534350
2,Gopala Krishna GoShala,"534411, Unnamed, Chikili, Andhra Pradesh 761106",761106,,094404 87864,534350
3,gaushala bhagalpur,"M.P, D. Road, near Goshala Road, Urdu Bazar, Bhagalpur, Bihar 812002",812002,, ,812003
4,Sri Sri Goshala,"6XXC+F75, M.P.D. Road, near Goshala, Sarai, Bhagalpur, Bihar 812002",812002,, ,812003
5,Aditya Gaushala,"82PJ+PGC, Zabtaili, Bihar 853202",853202,, ,812003
6,Ravishankar Gaushala,"Kodravitta post amari thana akbarnagar of districts, Bhagalpur, Bihar 813213",813213,, ,812003
7,Exam centre AMARPUR road BHAGALPURnear gaushala,"Imampur, Bhagalpur, SH-25, Banka Deoghar Road, Bhagalpur - Dumka Rd, Bhagalpur, Nisf Ambe, Bihar 812002",812002,, ,812003
8,Bhagawat Dham Ashram Gaushala,"9348+9HM, Borba Rd, Sahul, Bihar 853204",853204,, ,812003
9,"Govigyan anusandhan kendra, kamdhenu Goshala","5437+9QG, Itwari Station Rd, Ladpura, Binaki, Nagpur, Maharashtra 440002",440002,, ,440018
10,Go -Vigyan Anusandhan Kendra,"Kelibag Road, Badkas Square Rd, opposite Sai Mandir, Badkas Chowk, Mangalwari, Mahal, Nagpur, Maharashtra 440002",440002,,0712 772 2732,440018
11,Gaushala,"4594+M9, Nagpur, Maharashtra 441204",441204,, ,440018
12,Shree Krishna Gaushala,"R3RM+XF8, Salairani, Maharashtra 441108",441108,,093264 39278,440018
13,Jain Gaushala (RAULGAON) Niraashrit Gauvansh Seva Foundation,"RAULGAON, Road, DORLI, Katol, Maharashtra 441502",441502,,088888 81428,440018
14,JAIN GAUSHALA,"6QHC+HX7, RAULGAON, Road, DORLI, Katol, Maharashtra 441502",441502,http://jaingaushala.com/,088888 81428,440018
15,"Govigyan anusandhan kendra, kamdhenu Goshala","5437+9QG, Itwari Station Rd, Ladpura, Binaki, Nagpur, Maharashtra 440002",440002,, ,440032
16,Go -Vigyan Anusandhan Kendra,"Kelibag Road, Badkas Square Rd, opposite Sai Mandir, Badkas Chowk, Mangalwari, Mahal, Nagpur, Maharashtra 440002",440002,,0712 772 2732,440032
17,Gaushala,"4594+M9, Nagpur, Maharashtra 441204",441204,, ,440032
18,Shiv Samadha Gaushala,"632R+866, Shambhu Nagar, Nagpur, Maharashtra 440026",440026,, ,440032
19,Kabir Mandir Gaushala,"5373+CH4, Near Balaji Mandir, Seminary Hills, Nagpur, Maharashtra 440006",440006,, ,440013
20,Shiv Samadha Gaushala,"632R+866, Shambhu Nagar, Nagpur, Maharashtra 440026",440026,, ,440013
21,Shri Sant Gajanan Maharaj Goshala and Vishranti Sthal,"632R+6QJ, Nagpur, Maharashtra 440026",440026,, ,440013
22,Gaushala,"4594+M9, Nagpur, Maharashtra 441204",441204,, ,440013
