,Name,address,pincode,website,phone number,scrap
0,MSR dairy farm,"m)krishna (d, rangannagudem, Bapulapadu, Vijayawada, Andhra Pradesh 521110",521110,, ,521109
1,Rajeev Dairy Farm,"JVQP+W7J, Veeravalli, Andhra Pradesh 521110",521110,, ,521109
2,Model Dairy,"Model Dairy, Gannavaram, Chinna Avutapalli, Andhra Pradesh 521286",521286,https://modeldairy.in/,089851 51510,521109
3,Movva srinivasarao,"JWJ6+JC9, Ranganna Gudem, Andhra Pradesh 521110",521110,, ,521109
4,Heritage Sale Point (Sudhakar Heritage Milk Parlour ),"5-47, Near Tambi Church Centre Pedd 5-47, NEAR TAMBI CHURCH CENTRE PEDD Krishna,Vijayawada, Vijayawada, Andhra Pradesh 521286",521286,http://www.heritagefoods.in/,079898 58977,521109
5,Heritage Sale Point (Kvr Genaral Stores),"7, 114, opp. AMBEDKAR STATUE RD, LURDH, Peda Avutapalli, Andhra Pradesh 521286",521286,http://www.heritagefoods.in/,094947 64741,521109
6,LRK Dairy Farm,"Old, Old Rice Mill Rd, Gosaveedu, Andhra Pradesh 521403",521403,, ,521403
7,Heritage Sale Point (Vijayapal Milk Parlour ),"Kalluru - Rajavaram - Madhira Rd, Kanumuru, Gampalagudem, Andhra Pradesh 521403",521403,http://www.heritagefoods.in/,088867 38738,521403
8,Palakendram - Vijaya Dairy - Subbala,"2GH3+VH7, Sobbala, Andhra Pradesh 521403",521403,, ,521403
9,Vijaypal Cooldrinks & Milk Products & ice creams,"Main road, Kanumuru, Gampalagudem, Andhra Pradesh 521403",521403,,092906 41743,521403
10,ఆదిత్య మిల్క్ పార్లర్,"Kanumuru, Gampalagudem, Andhra Pradesh 521403",521403,, ,521403
11,Animal Dairy Farm,"Old punchyati Road, Gosaveedu, Andhra Pradesh 521403",521403, , ,521403
12,"Milk Centre, Vijaya Dairy G.Gopavaram","XG5P+MJ7, Guntupalle Gopavaram, Telangana 521403",521403,, ,521403
13,"Palakendram, Vijaya Dairy, Suravaram","3H6G+7F7, Gampalagudem - Tiruvuru Rd, Suravaram, Vamakuntla, Andhra Pradesh 521235",521235, , ,521403
14,"Milk Chilling Center, Tiruvuru","Laxmipuram, Andhra Pradesh 521235",521235,, ,521403
15,Heritage Sale Point (Venu Gopala Dairy Parlour ),"R3-16 (6622200002128),Tiruvuru,Krishna R3-16 (6622200002128),TIRUVURU,KRIS Krishna, Kalluru - Lakshmipuram Rd, Andhra Pradesh 521235",521235,http://www.heritagefoods.in/,088867 38738,521403
16,Heritage Sale Point ( SRI SRINIVASA MILK PARLOUR),"H.NO-3-143/4,TATAKUNTLA,VISANNAPETAKRISHNA, Andhra Pradesh 521215",521215,http://www.heritagefoods.in/,095053 89219,521403
17,"Palakendram, Vijaya Dairy","National Highway 30, Laxmipuram, Andhra Pradesh 521235",521235,, ,521403
18,PNR DAIRY Farm,"Hno 3-98 Madhira madupalli, Ramalayam Street, Madhira, Telangana 507203",507203,https://g.co/kgs/oGJUsu,098491 32492,521403
19,Vijaya Dairy Parlour - Krishna Milk Union,"3JMF+MF7, Laxmipuram, Andhra Pradesh 521235",521235,, ,521403
20,Heritage Sale Point (YOSHITHA MILK DISTRIBUTORS),"Jan-61, ASANNAGUDEM,DAMMAPETA,KHAMMAM ASANNAGUDEM, Dammapeta, 507001",507001,http://www.heritagefoods.in/,080198 48350,521403
21,సాయికృష్ణ Dairy farm,"WPFF+V2 పూజల బ్రదర్స్ గార్డెన్స్, Kunaparajuparva, Mutchinapalle, Andhra Pradesh 521215",521215,, ,521403
22,పానుగంటి ఉషారాణి మిల్క్ పార్లర్,"Kothuru, Tiruvuru, Andhra Pradesh 521235",521235,, ,521403
23,Karimulla Dairy Farms,"RJP7+4W, Pulluru, Andhra Pradesh 521215",521215,, ,521403
24,Heritage KAMALA MILK,"H.NO:-1-6, Vavilala, TIRUVURU, Andhra Pradesh 521235",521235,http://www.heritagefoods.in/,081062 85255,521403
25,Samineni Diaryfarm,"Lakshmi narsimha temple straight road,gummadidurru, Penuganchiprolu, Andhra Pradesh 521190",521190,, ,521403
26,Gokulam,"5R46+MG9, Gokulam, Puttaparthi, Andhra Pradesh 515134",515134,, ,515134
27,Indian Dairy Farm,"Bridge No. 3 , Sujanpur Bridge No. 3, Sujanpur, Punjab 145023",145023,,097802 32687,176200
28,Gaggal Waley Kaku Dairy Sweets And Bakery,"near state bank of india, New Kangra, Kangra, Himachal Pradesh 176001",176001,,086289 01530,176200
29,Army Dairy Farm,"GWVR+5VC, Banikhet Jangal, Himachal Pradesh 176303",176303,, ,176200
30,Himgiri Farm,"tehsil, Vill. Dhanoa, P/O Dhaneta, Nadaun, Himachal Pradesh 177041",177041,, ,176200
31,Nagpal Dairy,"126, Palampur - Dharamshala Rd, Shastri Nagar, Palampur - Dharamshala Rd, Shastri Nagar, Berachah, Palampur, Himachal Pradesh 176061",176061,,088943 38555,176200
32,The Verka Dairy,"RP34+8JX, Unnamed Road, Panwan, Punjab 144205",144205,, ,176200
33,Shri Guru Amardas Dairy Farm,"VILL. RAMGARH KULLIAN TEHSIL MUKERIAN DISTT, Punjab 144211",144211,,082880 12255,176200
34,indian dairy ice cream palli more,"palli, more, tehsil, Kathua, Jammu and Kashmir 184143",184143,, ,176200
35,Kataula Dairy Farm,"Q2WC+PGC, MDR23, Himachal Pradesh 175005",175005,, ,176200
36,Punjab Milk Bar,"Sector 2 Rd, Sector-2, Talwara Twp, Ram Nangal, Punjab 144216",144216,, ,176200
37,"JAGMOHAN DAIRY, NADALA","Begowal Subhanpur Road, Nadala, Punjab 144624",144624,,0182 227 1890,176200
38,Gaggal Waley Kaku Dairy Sweets And Bakery,"near state bank of india, New Kangra, Kangra, Himachal Pradesh 176001",176001,,086289 01530,176059
39,Nagpal Dairy,"126, Palampur - Dharamshala Rd, Shastri Nagar, Palampur - Dharamshala Rd, Shastri Nagar, Berachah, Palampur, Himachal Pradesh 176061",176061,,088943 38555,176059
40,KAPOOR DAIRY FARMS,"vill Tika chatair,Po Yol cantt Teh Dharamshala District Kangra, Yol, Himachal Pradesh 176052",176052,, ,176059
41,Thakur Dairy And Residence,"Tika Bani, Yol, Himachal Pradesh 176052",176052,, ,176059
42,KUNDRA DAIRY FARM,"58PG+MX4, Unnamed Road, Uparli Barol, Patani, Himachal Pradesh 176215",176215,, ,176059
43,Nature View Dairy,"Village-Mailey, PO Moondhi THURAL, Palampur, Himachal Pradesh 176092",176092,, ,176059
44,Shiv Dairy,"4H8J+576, Kandbari, Himachal Pradesh 176061",176061,, ,176059
45,University Dairy Farm,"4H25+2J9, NH154, Holta, Palampur, Banuri, Himachal Pradesh 176062",176062,,094176 28509,176059
46,Dhauladhar Milk,"VPO, DHALOON, Tehsil, DHALOON, Karah Pura, Himachal Pradesh 176056",176056,,080910 36530,176059
47,Rohit Frozen foods and dairy farm,"3F2R+G84, Bhawarna, Sutrehr, Himachal Pradesh 176083",176083,, ,176059
48,Dhagwar Milk Plant,"Chakwan, dhagwar, Maned, Himachal Pradesh 176209",176209,, ,176059
49,Mother Dairy Palampur,"4G3M+3PQ, Berachah, Palampur, Himachal Pradesh 176061",176061,https://www.motherdairy.com/,1800 180 1018,176059
50,Baba Dairy And Resturent,"3H48+2C4, SH 17, Panchrukhi, Barohal, Himachal Pradesh 176103",176103,,098053 29401,176059
51,Himgiri Farm,"tehsil, Vill. Dhanoa, P/O Dhaneta, Nadaun, Himachal Pradesh 177041",177041,, ,176059
52,Shree Krishna Dairy Farm,"Tehsil Balh, near Rewalsar, Dusra Khabu, Himachal Pradesh 175023",175023,,098166 66914,176059
