,Name,address,pincode,website,phone number,scrap
0,Govind Gau Shala,"MF98+3W2, Near Krisi mandi Housing Board Coloney, Datia, Madhya Pradesh 475661",475661,, ,475661
1,Gaushala गौशाला चिरूला,"HFQR+27, Chirula, Madhya Pradesh 475661",475661,, ,475661
2,Gaushala chirula,"F7PG+8J7, Thanra, Madhya Pradesh 475661",475661,, ,475661
3,Gaushala kalari jila datiya,"MF86+49F, Datia, Madhya Pradesh 475661",475661,, ,475661
4,गौशाला कामद,"JJ9G+66J, Kamad, Madhya Pradesh 475671",475671, , ,475661
5,Jana Gaushala,"G69X+43, Jana, Uttar Pradesh 224205",224205,, ,224141
6,Gaushala,"Q6X2+447 Ramkot, Tulsi Nagar, Ayodhya, Uttar Pradesh 224123",224123,, ,224141
7,Smart Gaushala,"Q566+7PH, Deen Dayal Nagar, Faizabad, Uttar Pradesh 224133",224133,, ,224141
8,Sohgauli Gaushala,"Bhandra Kurwar Marg Road, Sultanpur, Bhagvanpur, Uttar Pradesh 228155",228155,,088661 15948,224141
9,ISKCON Goshala,"Parikrama Marg, Raman Reiti, Vrindavan, Uttar Pradesh 281121",281121,http://goshala.com/, ,224141
10,shri sidhh gufa jeev gaushala,"Q286+5G9, Chhipaiti, Etawah, Uttar Pradesh 206001",206001,"https://www.google.com/travel/hotels/gaushalas%20at%20224141/entity/CgoIqvmYsdHb_OJGEAE/prices?g2lb=4814050,4874190,4893075,4899568,4899569,4965990,72277293,72302247,72317059,72406588,72414906,72421566,72462234,72471280,72472051,72473841,72481459,72485658,72486593,72494250,72513513,72536387,72538597,72549171,72570850,72577179,72582855,72597925,72602734,72616120,72618893,72619172,72619383,72620306&hl=en-IN&gl=in&cs=1&ssta=1&q=gaushalas+at+224141&ts=CAEaKwopEicyJTB4Mzk3NWRmZTZmZGE1ZjcxZjoweDQ2YzVmMmRkMTYyNjNjYWE&rp=OAJAAEgBwAEC&ictx=1&sa=X&ved=2ahUKEwiz_sWMzc2GAxXyR2wGHbBwAZAQrK0LegQIFRAC", ,224141
11,Gaushala,"593R+WV4, Main Road, Firozabad, Firozabad, Uttar Pradesh 283203",283203,, ,224141
12,गौशाला,"P65F+47F, Rasulabad-Darshan Nagar Rd, Bahoran Pur, Uttar Pradesh 224135",224135,, ,224141
13,Dayalbagh Gaushala,"62G5+PV5, Anupam Bagh, DayalBagh, Agra, Uttar Pradesh 282005",282005,, ,224141
14,Samarpan Goshala (Sanjeev Krishna Thakur Ji) Neemgaon,"Unnamed Road, Neemgaon, Uttar Pradesh 281504",281504,,098106 90285,224141
15,Radha Surabhi Goshala,"GFMV+239, Uttar Pradesh 281504",281504,http://www.radhasurabhi.com/,099276 68182,224141
16,Krishna Gaushala,"P7RC+F53, Ankur Vihar, Ved Vihar, Ghaziabad, Uttar Pradesh 201102",201102,, ,224141
17,Goshala Maya Bazar,"Maya, Uttar Pradesh 224161",224161,, ,224141
18,Post Office,"H99M+W7V, Goshainganj, Uttar Pradesh 224141",224141,https://www.indiapost.gov.in/,1800 11 2011,224141
19,Gaushala,"J4R3+4QW, Rajapur Mafi, Binaikpur, Uttar Pradesh 224202",224202,, ,224208
20,Jana Gaushala,"G69X+43, Jana, Uttar Pradesh 224205",224205,, ,224208
21,Gaushala,"Q6X2+447 Ramkot, Tulsi Nagar, Ayodhya, Uttar Pradesh 224123",224123,, ,224208
22,Smart Gaushala,"Q566+7PH, Deen Dayal Nagar, Faizabad, Uttar Pradesh 224133",224133,, ,224208
23,Sohgauli Gaushala,"Bhandra Kurwar Marg Road, Sultanpur, Bhagvanpur, Uttar Pradesh 228155",228155,,088661 15948,224208
24,Gaushala,"J4R3+4QW, Rajapur Mafi, Binaikpur, Uttar Pradesh 224202",224202,, ,224206
25,Jana Gaushala,"G69X+43, Jana, Uttar Pradesh 224205",224205,, ,224206
26,Gaushala,"Q6X2+447 Ramkot, Tulsi Nagar, Ayodhya, Uttar Pradesh 224123",224123,, ,224206
27,Sohgauli Gaushala,"Bhandra Kurwar Marg Road, Sultanpur, Bhagvanpur, Uttar Pradesh 228155",228155,,088661 15948,224206
28,Smart Gaushala,"Q566+7PH, Deen Dayal Nagar, Faizabad, Uttar Pradesh 224133",224133,, ,224206
29,Shahid Shetan singh Gaushala Bhojasar,"6QGX+FMF, Bhojasar, Rajasthan 342311",342311,,099504 43931,342311
30,Phalodi Gowshala,"49J8+RR4, Malar Road, Bhaiya Nadi, Phalodi, Rajasthan 342301",342301,, ,342311
31,Shri Koushal Goshala ( Mahant Shri Bhagwandas ),"9GGP+Q57, koushal, Kaushal Nagar, Jamnagar",mnagar,,096101 40029,342311
32,Pinjra Pole Gaushala,"4CP5+VPH, Khichan, Rajasthan 342308",342308,, ,342311
33,Pannalal Gaushala,"82VM+846, Opposite ONGC Office, Mandore, Jodhpur, Rajasthan 342007",342007,,0291 257 1594,342311
34,Sant Sri Sukhram Das Gaushala,"8242+RPJ, Soorsagar Main Rd, Raj Bagh, Soorsagar, Jodhpur, Rajasthan 342024",342024,,097848 88215,342311
35,Keshav Priya Gaushala,"Keshav Priya Gaushala, near Baori, Kelawa Khurd, Rajasthan 342037",342037,http://www.pdparmarthseva.org/keshavpriya_goushala/,087695 83333,342311
36,Magaji Parivar Gir+ tharparkar Gaushala savardhan Kendra,"6MM6+M5, Karani Pura, Rajasthan 342308",342308,, ,342311
37,Shri Kanhayia Gaushala,"6XM9+W63, Balaji Nagar, Khema-Ka-Kuwa, Jodhpur, Rajasthan 342008",342008,,0291 276 6572,342311
38,Shree Krishna goshala motai,"8J36+XJQ, Unnamed Road, Jambeshvar Nagar, Rajasthan 342311",342311,"https://www.google.com/travel/hotels/gaushalas%20at%20342311/entity/CgsIk--RtY3bu5WqARAB/prices?g2lb=4814050,4874190,4893075,4899568,4899569,4965990,72277293,72302247,72317059,72406588,72414906,72421566,72462234,72471280,72472051,72473841,72481459,72485658,72486593,72494250,72513513,72536387,72538597,72549171,72570850,72577179,72582855,72597925,72602734,72616120,72618893,72619172,72619383,72620306&hl=en-IN&gl=in&cs=1&ssta=1&q=gaushalas+at+342311&ts=CAEaKwopEicyJTB4Mzk0MDhmZDUxZjk3OTNjMToweGFhMmFlZWQ4ZDZhNDc3OTM&rp=OAJAAEgBwAEC&ictx=1&sa=X&ved=2ahUKEwi8hPzWzc2GAxUDbmwGHYXIA9IQrK0LegQIAxAC", ,342311
39,Siddhnath Goshala,"Chopasni Rd, Bhadu Market, Jodhpur, Rajasthan 342008",342008,, ,342311
40,Seemajan Kalyan Samiti Gaushala,"49P2+56P, Phalodi-Jemala Rd, Phalodi, Rajasthan 342301",342301,, ,342311
41,Shree Khakhi Baba Gaushala,"78X6+5VC, MDR 37, Saruda, Rajasthan 334803",334803,, ,342311
42,Sree Baba ramdev goshala,"WMM3+X9X, Shri Jammeshwar, Rajasthan 342302",342302,, ,342311
43,Hari Krishna gaushala,"52X5+5X4, Unnamed Road, Phase 1st, Sangriya, Jodhpur, Rajasthan 342013",342013,, ,342311
44,Goushala Maidan,"opp. Ajit Colony, Ratanada, Jodhpur, Rajasthan 342001",342001,, ,342311
45,Shree Krishna Gaushala,"FJ4M+67F, Kosana, Rajasthan 342601",342601,, ,342311
46,ShreeRadhe Gopal Gaushala Bhadla,"952J+X6X, Bhadla, Rajasthan 334803",334803,, ,342311
47,Gaushala,"727P+M44, Polo Ground Rd, Air Force Area, Jodhpur, Rajasthan 342011",342011,, ,342311
48,Sh. Krishna Gaushala,"G655+M6F, Panchu, Rajasthan 334804",334804,, ,342311
49,Gaushala,"JFWQ+Q8Q, Unnamed Road, Bhopalgarh, Rajasthan 342603",342603,, ,342901
50,Shree Krishna Goushala,"QHPQ+GH5, MDR58, Gotan, Rajasthan 342901",342901,, ,342901
51,Pannalal Gaushala,"82VM+846, Opposite ONGC Office, Mandore, Jodhpur, Rajasthan 342007",342007,,0291 257 1594,342901
52,"SHREE SHEETLA MATA GAUSHALA ,DHAWA (श्री शीतला माता गौशाला)","asawari, Dhawa, Run Rd, mundwa, Rajasthan 342902",342902,, ,342901
53,Sant Sri Sukhram Das Gaushala,"8242+RPJ, Soorsagar Main Rd, Raj Bagh, Soorsagar, Jodhpur, Rajasthan 342024",342024,,097848 88215,342901
54,Shree Jogeshwer Goshala Samiti,"PR3P+PG6, Riya-Shyamdas, Rajasthan 341511",341511,, ,342901
55,Shri Kanhayia Gaushala,"6XM9+W63, Balaji Nagar, Khema-Ka-Kuwa, Jodhpur, Rajasthan 342008",342008,,0291 276 6572,342901
56,Shree Kamdhenu Gaushala,"Talanpur, Dhanapa, Rajasthan 342902",342902,,094141 19491,342901
57,Siddhnath Goshala,"Chopasni Rd, Bhadu Market, Jodhpur, Rajasthan 342008",342008,, ,342901
58,Shree Krishna Gaushala,"FJ4M+67F, Kosana, Rajasthan 342601",342601,, ,342901
59,Shree Roop Sukun Gaushala Borunda,"FR73+RQR, Borunda, Rajasthan 342604",342604,, ,342901
60,IG MAHARAJ GAUSHALA BARNI KALAN,"PHGM+69, Barni Kalan, Rajasthan 342901",342901, , ,342901
61,Goshala,"V72P+W37, Dhanari khurad Tahsil bawdi Waya, Soila, Rajasthan 342037",342037,, ,342901
62,Shree partit ram ji goshala,"RJQR+9P8, Diyawari, Rajasthan 341028",341028,, ,342901
63,Shri Krishna Gaushala Gowan kalan,"WHWX+M6, Gowan Kallan, Rajasthan 341028",341028,, ,342901
