,Name,address,pincode,website,phone number,scrap
0,राम भरोसे गौशाला अर्जुनदेव नगर चेराई,"गौशाला अर्जुनदेव नगर चेराई Gaushala Arjun Dev Nagar cherai, jodhpur, Rajasthan 342306",342306,, ,342309
1,श्रीकृष्ण गौशाला चांमु (Shree Krishna Cowshed),"MH3M+5C6, Chamu, Rajasthan 342306",342306,, ,342309
2,Pinjra Pole Gaushala,"4CP5+VPH, Khichan, Rajasthan 342308",342308,, ,342309
3,Phalodi Gowshala,"49J8+RR4, Malar Road, Bhaiya Nadi, Phalodi, Rajasthan 342301",342301,, ,342309
4,Sree Baba ramdev goshala,"WMM3+X9X, Shri Jammeshwar, Rajasthan 342302",342302,, ,342309
5,Shree padam Singh ji bhomiya ji gaushala,"48FW+FX, Phalodi, Rajasthan 342301",342301,, ,342309
6,Seemajan Kalyan Samiti Gaushala,"49P2+56P, Phalodi-Jemala Rd, Phalodi, Rajasthan 342301",342301,, ,342309
7,Pannalal Gaushala,"82VM+846, Opposite ONGC Office, Mandore, Jodhpur, Rajasthan 342007",342007,,0291 257 1594,342309
8,Sant Sri Sukhram Das Gaushala,"8242+RPJ, Soorsagar Main Rd, Raj Bagh, Soorsagar, Jodhpur, Rajasthan 342024",342024,,097848 88215,342309
9,Shri Kanhayia Gaushala,"6XM9+W63, Balaji Nagar, Khema-Ka-Kuwa, Jodhpur, Rajasthan 342008",342008,,0291 276 6572,342309
10,Gopal Goshala,"PWH4+7QH, Osian, Rajasthan 342303",342303,, ,342309
11,Borawas Gaushala,"Surpura, Rajasthan 342304",342304,, ,342309
12,कबीरधाम श्री साहेब गौशाला फलोदी,"5948+CH5, Phalodi, Rajasthan 342301",342301,, ,342309
13,श्री प्रभू प्रेम गौशाला जेलू (shree prabhu prem goushala jeloo),"MDR104, Rajasthan 342306",342306,, ,342309
14,Siddhnath Goshala,"Chopasni Rd, Bhadu Market, Jodhpur, Rajasthan 342008",342008,, ,342309
15,Gaushala,"727P+M44, Polo Ground Rd, Air Force Area, Jodhpur, Rajasthan 342011",342011,, ,342309
16,Shree Bheed Bhajan Krishna Gaushala,"7XGV+9RF, Balaji Rd, Near Balaji Temple, Masuria, Baldev Nagar, Jodhpur, Rajasthan 342003",342003,, ,342309
17,श्री गोपाल कृष्ण गौशाल घेवडा,"HRR2+MHM, Panchala Rd, Ghewara, Rajasthan 342306",342306,, ,342309
18,गोशाला,"3876+WFH, Mokhori, Rajasthan 342301",342301, , ,342309
19,gaushala mandla kallan,"R6R6+F96, Mandla Kalan, Dechu, Bara Mandla, Rajasthan 342314",342314, , ,342309
20,Sant Mahesh Muniji Borewale Gaushala Educational Welfare Society,"Gaushala Nehar Wali, Badhni Kalan, Moga, Punjab 142037",142037,,0163 625 1357,142037
21,JATHEDAR HARI SINGH DUDHA DAL SHAUNA GAUSHALA SOCIETY,"V.P.O, DUNEKE ROAD V.P.O RANIAN TEHSIL NIHAL SINGH WALA DISTT MOGA, Rania, Punjab 142056",142056,, ,142037
22,Khulli Gaushala,"M3HW+R6F, Bhagta Bhagapurana Road, Bagha Purana, Punjab 142038",142038,,098144 00718,142038
23,MMBW Gaushala,"Bagha Purana Road Ladhai Ke, Mari Mustafa, Punjab 142038",142038,, ,142038
24,Vaddi Gaushala,"M527+647, Phulewala, Punjab 142056",142056, , ,142038
25,Gaushala Mahasang Moga Punjab,"Vpo, Road, near Chowk, Moga, Punjab 142001",142001,,097800 05624,142038
26,Swami Mahesh Muni Ji Gaushala,"RX5H+4C3, Unnamed Road, Thamanwala, Punjab 142048",142048,, ,142038
27,JATHEDAR HARI SINGH DUDHA DAL SHAUNA GAUSHALA SOCIETY,"V.P.O, DUNEKE ROAD V.P.O RANIAN TEHSIL NIHAL SINGH WALA DISTT MOGA, Rania, Punjab 142056",142056,, ,142038
28,Gopal Gaushala,"Gandhi Rd, Hardev Nagar, Moga, Punjab 142001",142001,,0163 623 6708,142038
29,Shri Mahesh Gaushala,"Q4WH+V3R, Patti Sandhwan, Punjab 142001",142001,, ,142038
30,Handicap gaushala,"R5J6+RJ2, Suraj Nagar, Moga, Punjab 142001",142001, , ,142038
31,Sant Mahesh Muniji Borewale Gaushala Educational Welfare Society,"Gaushala Nehar Wali, Badhni Kalan, Moga, Punjab 142037",142037,,0163 625 1357,142038
32,Gaushala alamdepur,"H6R7+4X, Almde Pur, Uttar Pradesh 233304",233304,, ,232107
33,Shri Kashi Jeevdaya Vistaringi Goshala Avam Pashushala,"K 40/24, Dulhinji Road, Golghar, Varanasi -221001",221001,, ,221008
34,Gaushala,"7XRX+M8P, Durgakund, Jawahar Nagar Colony, Bhelupur, Varanasi, Uttar Pradesh 221010",221010,, ,221008
35,Nand Sadan Gaushala,"Akauni, Katariya, Uttar Pradesh 221110",221110,, ,221008
36,Shri Niwas Gaushala,"74GM+3PH, Alinagar Rd, Mughalsarai, Uttar Pradesh 232101",232101,, ,232120
37,Government Gaushala सरकारी गौशाला,"7535+W7, Katauri, Sikandarpur, Uttar Pradesh 221105",221105,, ,232120
