,Name,address,pincode,website,phone number,scrap
0,gupta dairy farm,"89M9+2V6, Bajar Para, Kondagaon, Chhattisgarh 494226",494226,,090393 94491,494670
1,Amul Milk Factory,"37MF+W8P, Chingri, Chhattisgarh 491221",491221,, ,494336
2,Shekhar Jain Dairy,"Kamptee Line, Bharka Para, Rajnandgaon, Chhattisgarh 491441",491441,,097700 11880,494336
3,Arjunda Dairy,"Gurudwara Rd, Sindhi Colony, Durg, Chhattisgarh 491001",491001,, ,494336
4,Prajapati Dugdh Dairy,"Purani Basti, Bramhapuri, Raipur, Chhattisgarh 492001",492001,https://prajapatidairy.com/,096916 12554,494336
5,Achyut Dairy,"Dawra Colony Turning, Nahar Rd, Laxmi Nagar, Raipur, Chhattisgarh 492001",492001,,095950 59993,494336
6,Sarda Dairy & Food Products Ltd.,"157, Sector 4, Pandri, Raipur, Chhattisgarh 492004",492004,http://www.sardadairy.in/,077122 14155,494336
7,Ayodhya Dairy,"588P+42R, Krishna Talkies Rd, Phase 3A, Ajad Market, Risali, Bhilai, Chhattisgarh 490006",490006,http://www.ayodhyadairy.com/,098264 11913,494336
8,SHYAM DAIRY FARM & DAILY NEEDS,"Main Road, opp. Sunder Jewellers, Kondagaon, Chhattisgarh 494226",494226,, ,494336
9,Indian Trading Company,"04, It Self Indian Trading Company Sbi Colony Junwani Main road Sbi Colony Junwani, Bhilai, Bilaspur, Chhattisgarh 495001",495001,,097131 99998,494336
10,Maa Dairy,"Gurudwara Rd, New Purena, Mahaveer Nagar, Raipur, Tikrapara, Chhattisgarh 492001",492001,,098931 28810,494336
11,preeti dairy,"68FV+GC6, Kurud Rd, Kohka, Bhilai, Chhattisgarh 490023",490023,, ,494336
12,Abis Dairy Farm,"Godri, Chhattisgarh 491661",491661,https://abis-dairy-farm-godri.business.site/,092000 03636,494336
13,Doodh ganga,"P6H2+CQJ, Unnamed Road, Balod, Chhattisgarh 491226",491226,,0883 646 8222,494336
14,"Chhattisgarh State Cooperative Dairy Federation, BMY, Charonda, Urla.","6FJP+JFV, Kumhari NP Part, Chhattisgarh 490042",490042,http://www.cgcoopdairyfed.in/,077140 99794,494336
15,Shyam Dairy,"7M9C+W56, Avani Vihar Colony, Dubey Colony, Mowa, Raipur, Chhattisgarh 492014",492014, , ,494336
16,Milk Dairy,"No. 17, Shankar Nagar, Raipur, Chhattisgarh 492001",492001,, ,494336
17,Jai Ma Bhavani Dairy & Sweets,"58Q5+V2W, Hudco Colony, Hudco, Bhilai, Chhattisgarh 490009",490009,, ,494336
18,Dauji Dairy,"Shop No 01, Adarsh Nagar, Durg, Chhattisgarh 491001",491001,"https://www.google.com/search?sca_esv=00e485a4403845c8&sca_upv=1&rlz=1C1CHWL_enIN1089IN1089&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=ADLYWILtKagE78nPZDbQH8192XU34_p3MQ:1716484346537&q=dairies+at+494336+in+india#",097131 78017,494336
19,Patel Dairy,"58CW+RFX, Delhi Public School Rd, D-Pocket, Maroda Sector, Bhilai, Chhattisgarh 490006",490006,,094241 18945,494336
20,"Devbhog Milk Plant , Kumhari","6FJQ+Q6R, Kumhari NP Part, Chhattisgarh 490042",490042,, ,494336
21,rachika dairy,"Hoyer PO, PS, Khalari, Jharkhand 829205",829205,http://rachikadairy.com/,090049 94033,825414
22,Hotwar Dairy(Medha),"behind Birsa Munda Jail, Khelgaon, Ranchi, Jharkhand 835217",835217,http://www.jmf.coop/,075440 03435,825414
23,Jai Shree Krishna Dairy,"Bhuli Rd, near SBN School, C block, Bhuli, Dhanbad, Jharkhand 828104",828104,,098352 09203,825414
24,Osam Dairy,"448 A, Rd Number 4, Ashok Kunj, Ashok Nagar, Ranchi, Jharkhand 834002",834002,http://www.osamdairy.com/,070708 94555,825414
25,"Puresh Daily. home delivery of Pure, fresh organic milk ,ghee and paneer","Laxmi Tower, Kokar, Ranchi, Jharkhand 834001",834001,https://pureshmilk.com/,092977 77440,825414
26,Medha Dairy,"Bahu Bazaar - Lowadih Bypass Rd, Mithila Nagar, Bhuiyan Toli, Samlong, Ranchi, Jharkhand 834001",834001,,0651 244 3062,825414
27,Milky Kool,"DAHU, ORMANJHI, Ranchi, Jharkhand 835219",835219,http://milkykool.com/,096319 69444,825414
28,medha dairy,"FMJG+PH4, Satsang Nagar, Deoghar, Jharkhand 814116",814116,,0651 244 3062,825414
29,Gurwinder Singh Dairy Farm,"8HJW+JHQ, Unnamed Road, Doda, Punjab 152031",152031,, ,825414
30,SADHAN MILK SHOP,"near Mahavir Mandir, Old A G Colony, Kadru, Ashok Nagar, Ranchi, Jharkhand 834002",834002,,093342 28994,825414
31,Milap Dairy,"B-6/1, B-2, Block B, Rajouri Garden, New Delhi, Delhi 110015",110015,,011 2593 5409,825414
32,Rattan Dairy & Milk Products,"101, Block FB, Mansarover Garden, New Delhi, Delhi, 110015",110015,,098731 99199,825414
33,Chandani Chowk Khatal,"Chandni Chowk Main Rd, Patel Nagar, Hatia, Ranchi, Jharkhand 834003",834003,, ,825414
34,Sri Srinivasa Dairy Farms,"VG63+JGW, Ramannagudem, Andhra Pradesh 534101",534101,,098496 95588,825414
35,"JMF, Jharkhand Milk Federation","Sector 3, Jagannathpur, Ranchi, Jharkhand 834004",834004,http://jmf.coop/,0651 244 3055,825414
36,DODLA DAIRY MILK AND CURD DISTRIBUTOR,"Bus Stand, Kothakota, Telangana 509381",509381,http://www.dodladairy.com/,1800 103 1477,509381
37,Sree Rajeshwari dairy Products (India) Pvt L.Ltd,"CXJ2+RWQ, Mojerla Shivar, Kanimetta, Telangana 509219",509219,, ,509381
38,SUNRISE DAIRY PRODUCTS,"FWXM+FPP, MDR123, Dibbapalem, Krishnampalem, Andhra Pradesh 531061",531061,, ,531061
39,Heritage Sale Point (Sri Durga Milk Point),"D.NO.1, MA, 28, SEZ Colony, Rambilli, Veduruvada, Andhra Pradesh 531061",531061,http://www.heritagefoods.in/, ,531061
40,Heritage Sale Point ( L N T APPARAO DISTRIBUTOR ),"H.NO-2-246,KOTHAPATNAM,RAMBILLI MAN, Andhra Pradesh 531061",531061,http://www.heritagefoods.in/,083329 82222,531061
41,Pfda Bmf,"PLOT NO 17-20, NAVARATNA ESTATE, FLAT NO 102 RAJ RESIDENCY, Duppituru, Andhra Pradesh 531011",531011,, ,531061
42,Heritage Sale Point (Venki Distributor ATP),"GOVINDA PALAM, RA, 6-52, Kothapatnam Rd, Visakhapatnam, Andhra Pradesh 531061",531061,http://www.heritagefoods.in/, ,531061
43,Heritage Foods Limited,"Rapid Milk Chiller, Village Rambilli, Dimili, Andhra Pradesh 531061",531061,http://www.heritagefoods.in/,087908 27494,531061
