,Name,address,pincode,website,phone number,scrap
0,Gopinath Munde Goshala,"QFG7+PJF, Parli - Ambajogai Rd, Girwali, Maharashtra 431517",431517,http://www.goshala.com/,097641 85272,431517
1,Pavni goshala,"P9F7+VP8, Chanai Rd, Kirmani Nagar, Ambajogai, Sangaon, Maharashtra 431517",431517,, ,431517
2,Krishnai Goshala ...& kendre garden nursery,"P7MW+33P, Adas - Ambajogai Rd, Adas, Maharashtra 431517",431517,,075075 02046,431517
3,रामरक्षा गोशाळा,"QFWF+7XJ, Parli - Ambajogai Rd, Maharashtra 431517",431517,, ,431517
4,Goshala Gatnandur,"Ambajogai - Pangaon Rd, Maharashtra 431519",431519,,086057 01625,431517
5,Jai shree Ram Gaushala Aashram,"2HGR+J6, Dobadi Tanda, Maharashtra 431516",431516,, ,431517
6,Gaushala,"HPFF+WJM, Gaushala Rd, Mahaveer Colony, Ashoknagar, Madhya Pradesh 473331",473331,, ,473446
7,Goshala Colony,"HPFF+PC3, Gaushala Rd, Mahaveer Colony, Ashoknagar, Madhya Pradesh 473331",473331,, ,473446
8,Kanha gaushala,"MCP7+HJP, Azadpura, Lalitpur, Uttar Pradesh 284403",284403,, ,473446
9,Shri Siddh Baba Gaushala,"X6WC+GPJ, Achhroni, Madhya Pradesh 473585",473585,, ,473446
10,DAYODAYA GAUSHALA (A UNIT OF JAIN COMMUNITY INDIA),"GAUSHALA, DAYODAYA, Uttar Pradesh",radesh,, ,473446
11,Gaushala basahari,"677W+XX8, Basahari, Madhya Pradesh 470118",470118, , ,473446
12,Dayodaya Gaushala,"93QV+38J, Kasba Kachhi, Madhya Pradesh 473443",473443,, ,473443
13,Gaushala,"HPFF+WJM, Gaushala Rd, Mahaveer Colony, Ashoknagar, Madhya Pradesh 473331",473331,, ,473443
14,Goshala Colony,"HPFF+PC3, Gaushala Rd, Mahaveer Colony, Ashoknagar, Madhya Pradesh 473331",473331,, ,473443
15,Gaushala,"56M2+X2R, Link Road, Bina, Bina Railway Colony, Madhya Pradesh 470113",470113,, ,473443
16,Gaushala,"HPFF+WJM, Gaushala Rd, Mahaveer Colony, Ashoknagar, Madhya Pradesh 473331",473331,, ,473332
17,Shri kishan govardhan gaushala,"Q9MQ+Q88, Sutai, Madhya Pradesh 473113",473113,, ,473332
18,Gaushala,"HPFF+WJM, Gaushala Rd, Mahaveer Colony, Ashoknagar, Madhya Pradesh 473331",473331,, ,473330
19,Goshala Colony,"HPFF+PC3, Gaushala Rd, Mahaveer Colony, Ashoknagar, Madhya Pradesh 473331",473331,, ,473330
20,Sakeshwar gaushala sakat,"Q98M+3QP, Jamkhed - Patoda Rd, Sakat, Savargaon, Maharashtra 413201",413201,, ,414203
