,Name,address,pincode,website,phone number,scrap
0,Shri krishna gaushala,"3J2Q+HP, Dhangaon, Chhattisgarh 495334",495334,, ,491337
1,श्री करपात्री धाम गौशाला आश्रम,"Bemetara, to, Bemetara Nawagarh Rd, vill, Jhal, Chhattisgarh 491335",491335,, ,491337
2,Naina Goshala ( Dairy Farm), ,175006, , ,175006
3,Gaushala,"MWQJ+P2, Road, Kehnwal, Himachal Pradesh 175001",175001,, ,175003
4,Sub Post Office,"QV4F+WFH, National Highway 70, Kotli, Himachal Pradesh 175003",175003,http://www.indiapost.gov.in/,01905 281 788,175003
5,Post Office Kot,"RV48+P28, Kot, Himachal Pradesh 175003",175003,http://www.indiapost.gov.in/,1800 11 2011,175003
6,Bhatvari gaushala Vrudhashram,"5WJF+PFW, Surat - Kadodara Rd, Antroli, Gujarat 394325",394325,, ,394325
7,Kosmada Gam Gaushala,"5WXH+FPC, Kosmada, Gujarat 395006",395006,, ,394325
8,Vatsaly Gir GauShala,"Talav, Township Road, near Dindoli, Ramipark Society, Royal Star Town ship, Rami Park, DindoliGam, Surat, Devadh, Gujarat 394210",394210,,099252 41303,394325
9,Shivbaa Gaushala,"Shivbaa Gaushala, nr. Chamunda Nagar, Saniya Hemad, Gujarat 395006",395006,, ,394325
10,Om Nandeshwar Gau Shala,"6W3W+3Q9, Surat, Gujarat 395006",395006,, ,394325
11,Gira Gaushala,"near to shriya hights, Saroli, Surat, Gujarat 395007",395007,, ,394325
12,Om Nandeshvar Mahadev Gaushala,"6V2J+335 Alchemy School, Parvat Patia Canal Rd, Simada Gam, Chokdi, Ladvi, Surat, Gujarat 395010",395010,,098253 49764,394325
13,Om Nandeshwar Mahadev Gausala,"5XP2+87F, Unnamed Road, Vareli, Gujarat 394325",394325,, ,394325
14,Shri Ambika Niketan Goshala,"5WHV+CGF, Shri Ambika Niketan Goshala, Surat-Kadodara Road, At & Post Kosmada, Taluka, Kamrej",Kamrej,, ,394325
15,Krishna gaushala,"Chalthan road,niyol gam, Surat, Gujarat 395010",395010, , ,394325
16,Shri Nandeshwar Mahadev Gaushala,"6W3X+724, Surat, Gujarat 395006",395006,, ,394325
17,Jay bhavani gaushala,"6V4X+GV9, Saniya Hemad, Surat, Gujarat 395006",395006,, ,394325
18,Shivbaa Gaushala,"6W34+GCH, 100, near jj farm, Saniya Hemad, Gujarat 395006",395006,, ,394325
19,Shree Sitaram Gaushala,"6W5C+QP4, Surat, Gujarat 395006",395006,, ,394325
20,"Radhe Gaushala, Surat","6WGF+CJ, Khadsad, Gujarat 395006",395006,, ,394325
21,Panjrapole Gaushala,"4VG7+RF9, Railway Station Rd, Smc EWS Twp, Jay Radhe Industrial Estate, Udhana, Surat, Gujarat 395023",395023,, ,394325
22,Shree Ambikaniketan Goshala,"Kosmada Gam, near canal roaf, Surat, Gujarat 395006",395006,, ,394325
23,Shree Swami Aatmanand Saraswati Gaushala,"Valak Patiya,B/H Swaminarayan Mission School, Sarthana Jakat Naka - Kamrej Rd, Sagwadi, Varacha, Surat, Gujarat 395006",395006,, ,394325
24,VallabhaCharya Gaushala (Cowshed),"6V86+W32, Vallabhacharya Rd, BhakktInagar V-2, Setal Society, Hirabaugh, Surat, Gujarat 395006",395006,, ,394325
25,Gaushala Sabu,"Shop No 2, near Ashadeep School 2, Swaminarayan Nagar Society, Thakordwar Society, Simada Gam, Nana Varachha, Surat, Gujarat 395006",395006,,098794 86209,394325
26,OM MEET GAUSHALA,"R8W6+JP8, Kos, Gujarat 396590",396590,, ,394248
27,Sanjeevani Gir Gaushala,"Gandeva, Gujarat 396430",396430,, ,394248
28,Sahajanand Gir Gaushala,"Moti Ved Rd, Dabholi Village, Surat, Gujarat 395004",395004,,080809 29292,394248
29,Vrundavan Gaushala,"Unnamed Road, Khadsupa, Gujarat 396433",396433,, ,394248
30,Devnarayan goshala nareli,"Nareli, Ajmer, Rajasthan 305024",305024,, ,305024
31,Shree Sita Goshala,"28/599, Asha Ganj Rd, Pahar Ganj, Ajmer, Rajasthan 305001",305001,, ,305024
32,श्री श्याम गौशाला पालरा,"NH 8, Jaipur - Jodhpur National Hwy, Ratanzila, Ajmer, Rajasthan 305025",305025,https://youtube.com/@dharma.sadhna?si=b8jv0Sx5eFDfBKMJ, ,305024
33,GOPAL KUND GAUSHALA,"FJ59+QMV, Nagphani Rd, Jyoti Nagar, Ajmer, Rajasthan 305001",305001,, ,305024
34,A2 milk Gir gaushala Ajmer,"FJ4W+R8G, Vinay Nagar, Pal Bhichala, Ajmer, Rajasthan 305001",305001,, ,305024
35,GAUMAAN Gir Gaushala,"R54H+J2, Kharachia, Gujarat 360470",360470,, ,360480
36,Gaushala,"W8X3+HRX, Bhayavadar, Khirashara, Gujarat 360450",360450,, ,360480
37,Vasantpur gaushala,"WXHQ+JWJ, Jamjodhpur, Gujarat 360530",360530,, ,360480
38,Gopal's Farm & Gaushala,"V2F6+V85, Mahiki, Gujarat 360530",360530,, ,360480
39,Shri Mojeshwar Mahadev Gaushala Sevantra,"Q7VP+449, Sevantra, Gujarat 360490",360490,,099134 66292,360480
40,Gaushala Balwa,"VXP4+Q92, Balva, Gujarat 360530",360530,, ,360480
41,Shree tulsi gir gaushala,"Samana, Gujarat 360520",360520,, ,360480
42,shree vallabh gaushala,"national highway 27 near dumiyani, tolbooth, Upleta, Gujarat 360490",360490,https://vallabhgoshala.org/,094995 96101,360480
43,keshari gir gaushala satapar,"Nava, Satapar, Jamjodhpur, Gujarat 360531",360531,, ,360480
44,Gadhala gaushala,"R77H+JX9, Gadhala gaushala, Gadhala",adhala, , ,360480
45,Gaushala narmana,"35P5+5J5, Narmana, Gujarat 360520",360520, , ,360480
46,Kadava patel Gaushala Jamvali,"WW8V+7WJ, Jamavali, Gujarat 360530",360530, , ,360480
47,Gauseva and panjarapol,"V2GF+5JG, Jamjodhpur, Gujarat 360530",360530, , ,360480
