,Name,address,pincode,website,phone number,scrap
0,Vision India Dairy Products,"National Highway 205, Pata Koata Palle, Andhra Pradesh 517277",517277,,091330 86145,517213
1,Heritage Sale Point (YALLAREDDY MILK POINT),"AMBOO VAARI PALLI,KAMBHAMVARIPALLE, CHITTOOR, Andhra Pradesh 517213",517213,http://www.heritagefoods.in/,090000 28840,517213
2,Heritage Dairy Processing Unit,"NH71, Gudarevupalle, Andhra Pradesh 517214",517214,, ,517213
3,Jeeva dairy farm,"PRJP+F6, Gyarampalle, Andhra Pradesh 517213",517213,, ,517213
4,R K Reddy's KSHER DHENU Dairy Farm,"santhabailu village vedurukuppam mandal and post, chittoor district, pin:, Chittoor, Andhra Pradesh 517569",517569,,095906 51691,517213
5,Heritage Sale Point (ANURADHA MILK POINT),"D.NO-1-130/1,KOTAPALLI, Pileru, Andhra Pradesh 517214",517214,http://www.heritagefoods.in/,083417 52139,517213
6,Heritage Sale Point (Khajapeer Dairy Parlour ),"Chittoor 1-106, SARAVARPETA,BOMMAIAHGARI PAL, Tirupati, Andhra Pradesh 517192",517192,http://www.heritagefoods.in/,095333 33343,517213
7,Balaji Naidu Dairy Farm,"Musalimadugu, Palamaner, Andhra Pradesh 517408",517408,, ,517213
8,vankireddi dairy farm,"J267+CX6, E.Ramireddigari Palle, Andhra Pradesh 517214",517214,,086881 16766,517213
9,Heritage Foods Limited,"P & M, Mini Chilling Center,C/O Aslam Godowns Gurramkonda, Road, Kalakada, Andhra Pradesh 517236",517236,http://www.heritagefoods.in/,077020 33351,517213
10,PANDA DAIRY PRODUCTS PVT LTD,"Thoompayanapalle, Andhra Pradesh 517416",517416,,098489 72999,517213
11,Heritage Sale Point (RAVINDRA MILK POINT),"Gangi reddy complex, opposite canera bank, Pileru, Bodumalluvaripalle, Andhra Pradesh 517214",517214,http://www.heritagefoods.in/,096660 04081,517213
12,Milk Dairy,"JX49+F4H Kammammitta palli, Agraharam, Andhra Pradesh 517214",517214,,081868 66406,517213
13,Tirumala Dairy Parlour,"Near To Substation, Devapatla, Andhra Pradesh 516214",516214,, ,517213
14,Hatsun Gurram konda cc,"RJHR+CWJ, Unnamed Road, Nadimicherla, Andhra Pradesh 517305",517305,, ,517213
15,Heritage Sale Point (HEMAKESH MILK AGENCY),"D.NO-3-64,NAYANA VARI PALLI,AGRHARA, Kalikiri, Andhra Pradesh 517280",517280,http://www.heritagefoods.in/,093929 35587,517213
16,K.V Ramana Reddy Dodla Dairy Milk Centre,"NH40, Opp RTA Office, Sainik Nagar, Pileru, Andhra Pradesh 517214",517214,,090306 70756,517213
17,Sangam Dairy(BMC),"House No, Street Name*guramkonda road, Kalakada, Andhra Pradesh 517236",517236,, ,517213
18,Swamy's Dairy Farm,"H3MV+XGG, Unnamed Road, Ramireddigaripalle, Andhra Pradesh 517172",517172,, ,517213
19,Dodla Dairy Milk Collection Center[M.V.R],"Y.K palli, Guttapalem, Andhra Pradesh 517234",517234,, ,517213
20,Vision India Dairy Products,"National Highway 205, Pata Koata Palle, Andhra Pradesh 517277",517277,,091330 86145,517236
21,Vision India Dairy Products,"National Highway 205, Pata Koata Palle, Andhra Pradesh 517277",517277,,091330 86145,517234
22,Gokul Dairy Products,"93PR+FQX, Gopalapuram, Chittoor - Tirupati hHighway, Puthalapattu - Naidupeta Rd, Chittoor, Andhra Pradesh 517124",517124,, ,517234
23,Shuddha Pure Dairy,"MR33+5M9, Kalikiri, Andhra Pradesh 517234",517234,, ,517234
24,Balaji Enterprises,"Kamtoul, Bihar 847304",847304,https://balaji-enterperises.ueniweb.com/?utm_campaign=gmb,091995 86961,847304
25,"Kabira Dairy, Madhubani(Bihar)","Madhubani - Jhanjharpur - Madhepur Rd, near central Jail, New Colony, Ranti, Pilakhwar, Bihar 847234",847234,,099348 94112,847304
26,त्रिवेणी गोशाला,"Madhpur Rd 2, Madhupur, Bihar 847306",847306,, ,847304
27,Doodhu Dairy,"7WV9+7C9, Unnamed Road, Singhaso, Bihar 847121",847121,, ,847304
28,Jiwachi Diary,"7WWV+R5X, Keotiranwe, Bihar 847121",847121,, ,847304
29,Rahat dairy farm,"9WJP+FC5, Genaur, Bihar 847223",847223,, ,847304
30,Sudha dairy,"Unnamed Road, near Post Office, Lakshmisagar, Darbhanga, Bihar 846009",846009,, ,847304
31,RRR ENTERPRISES,"near Utkarsh Small Finance Bank, Sundarpur, Darbhanga, Basdeopur, Bihar 846005",846005,, ,847304
32,Sudama Sadan,"Dr R satyawarti Nursing home, near benta Middle school, Benta, Laheriasarai, Darbhanga, Bihar 846003",846003,, ,847304
33,Janki farm & Dairy,"maina baadh, railway crossing, near Marwa, Chahuta, Bihar 847304",847304,, ,847304
34,Jai Mata Di and Harshita enterprises,"Sahni Tola Rd, Sundarpur, Darbhanga, Bihar 846004",846004,https://www.motherdairy.com/,097082 08020,847304
