,Name,address,pincode,website,phone number,scrap
0,Sriramulu,"H2G8+J2W, Akkivalasa, Andhra Pradesh 532426",532426,, ,532212
1,Heritage Sale Point (Vijayambika Milk Parlour),"Aludu(Village & Post) Saravakota(Mandal) Srikakulam (District) A.P-532426, Srikakulam, Andhra Pradesh 532427",532427,http://www.heritagefoods.in/,096769 23443,532212
2,Heritage Sale Point (Vijaya Milk Point),"Aludu(Village & Post) Saravakota(Mandal, Srikakulam, Andhra Pradesh 532426",532426,http://www.heritagefoods.in/,082970 63443,532212
3,Sri Rajarajeswari Rathu Depot,"Temburu Pathapatnam Rd, Ayodhyapuram, Temburu, Andhra Pradesh 532201",532201,,091772 05492,532212
4,DHANA LAXMI VISAKA DAIRY,"DHANA LAXMI VISAKA DAIRY, Saravakota, Andhra Pradesh 532426",532426,,063037 27310,532212
5,Indian Dairy Farm,"Bridge No. 3 , Sujanpur Bridge No. 3, Sujanpur, Punjab 145023",145023,,097802 32687,176403
6,Gaggal Waley Kaku Dairy Sweets And Bakery,"near state bank of india, New Kangra, Kangra, Himachal Pradesh 176001",176001,,086289 01530,176403
7,Thakur dairy farm,"V4V6+H53, Chaplah, Himachal Pradesh 177105",177105,, ,176403
8,Shri Guru Amardas Dairy Farm,"VILL. RAMGARH KULLIAN TEHSIL MUKERIAN DISTT, Punjab 144211",144211,,082880 12255,176403
9,Himgiri Farm,"tehsil, Vill. Dhanoa, P/O Dhaneta, Nadaun, Himachal Pradesh 177041",177041,, ,176403
10,indian dairy ice cream palli more,"palli, more, tehsil, Kathua, Jammu and Kashmir 184143",184143,, ,176403
11,Bhinder Dairy,"Chander Vihar, Dinanagar, Punjab 143531",143531,, ,176403
12,The Verka Dairy,"RP34+8JX, Unnamed Road, Panwan, Punjab 144205",144205,, ,176403
13,Sharma Daily Need Shop & Ice Cream Parlor,"Near, Railway Crossing, Dhameta Road, Jassur, Jasur Khas, Himachal Pradesh 176201",176201,https://sharmadailyneedshopicecreamparlor.justdial.com/offer-99YEIMIM2EU123-12357rTGM, ,176403
14,Punjab Milk Bar,"Sector 2 Rd, Sector-2, Talwara Twp, Ram Nangal, Punjab 144216",144216,, ,176403
15,Daler dairy Farm,"Canal road, Zafarpur, Gurdaspur, Punjab 143521",143521,,098146 21000,176403
16,Dhagwar Milk Plant,"Chakwan, dhagwar, Maned, Himachal Pradesh 176209",176209,, ,176403
17,Andotra Dairy,"near State Bank Of India, Khojki Chak, Punjab 145027",145027,, ,176403
18,KATOCH ORGANIC FARM,"Bain, Kathgarh, Himachal Pradesh 176401",176401,https://g.co/kgs/We7ZZmC,078072 32423,176403
19,AS Dairy,"Sant Nagar, Hemrajpur, Gurdaspur, Punjab 143521",143521,, ,176403
20,"JAGMOHAN DAIRY, NADALA","Begowal Subhanpur Road, Nadala, Punjab 144624",144624,,0182 227 1890,176403
21,Naresh Di Hatti,"Abrol Nagar, Pathankot, Punjab 145001",145001,,096469 62235,176403
22,waraich farm,"JGP6+78M, Ballo Chak, Punjab 144621",144621,, ,176403
23,Thakur Dairy Farm,"RGX7+GH3, Alampur, SH 39, Alampur, Himachal Pradesh 176082",176082,,097363 60502,176403
24,Kissan Dairy and Sweets,"near Church, Zaffarwal, Punjab 143519",143519,, ,176403
25,Shivay Dairy Solutions,"Bhangred, Gharoh, Bangrehr, Himachal Pradesh 176216",176216,https://www.shivaydairysolutions.com/,094184 79801,176216
26,Maya Dairy (The Orignal Product),"Barol, Dharamshala, Jhikli Barol, Himachal Pradesh 176057",176057,https://d-mayadairy944.dotpe.in/,098058 64735,176216
27,KUNDRA DAIRY FARM,"58PG+MX4, Unnamed Road, Uparli Barol, Patani, Himachal Pradesh 176215",176215,, ,176216
28,Bhagya luxmi dairy & sweet shop,"Gaggal, Himachal Pradesh 176209",176209,,098055 82018,176216
29,Dhagwar Milk Plant,"Chakwan, dhagwar, Maned, Himachal Pradesh 176209",176209,, ,176216
30,Alpit Rustogi,"Rustogi General Store, Jawahar Nagar, Dharamshala, Himachal Pradesh 176215",176215,,070186 07775,176216
31,INDIA DAIRY,"Kanjari, Gujarat 387325",387325,, ,387310
32,Anand Dairy Farms,"Amul Dairy Rd, Nandanvan Society, Popati Nagar, Anand, Gujarat 388001",388001,, ,387310
33,Vansh Dairy Farm,"Rd, Ajarpura, Gujarat 388310",388310,, ,387310
34,"Amul Dairy,anand","Amul Dairy Rd, Popati Nagar, Anand, Gujarat 388001",388001,http://www.amuldairy.com/,02692 256 124,387310
35,Aayush Dairy Cow Supplier,"Divyangan Society, G-5, V.V Nagar Rd, near 22gam School, Vallabh Vidyanagar, Anand, Gujarat 388120",388120,,099242 12997,387310
36,DeLaval Private Limited,"202 - Shanti Complex Opp. Salvation Army English Medium School, Amul Dairy Rd, Anand, Gujarat 388001",388001,https://www.delaval.com/en-in/,097129 46485,387310
37,Brahma cow milk,"Leela Anand Farm, Civil Hospital Rd, Vaikunth Society, Chandralok Society, Jai Somnath Society, Kedar Park Society, Nadiad, Anand, Gujarat 387003",387003,,084698 35835,387310
38,Vidya Dairy,"Vidhya Dairy Rd, Anand, Gujarat 388110",388110,http://www.vidyadairy.in/,02692 262 501,387310
39,Amul India,"Gujarat Coooprative Milk Marketing Federation, 10, Amul Dairy Rd, Popati Nagar, Anand, Gujarat 388001",388001,https://amul.com/, ,387310
40,Amul Plaza,"HX29+CQC, 6/D, Amul Dairy Rd, Nandanvan Society, Ganesh Chokdi, Popati Nagar, Anand, Gujarat 388001",388001,, ,387310
41,Adinath Dairy Farm,"Shed No. 105/1, Road No. A13, Vitthal Udyognagar INA, Anand, Gujarat 388120",388120,,070166 56065,387310
42,ANAND FOOD AND DAIRY PRODUCTS,"H264+H85, Chikhodra- Sarsa Road, Chikhodra, Anand, Gujarat 388320",388320,https://anandfoodproduct.com/,02692 268 370,387310
43,Santram Dairy & Foods,"17, viral plaza complex, Central Bank Of India, Vallabh Vidyanagar, Anand, Gujarat 388120",388120,,099044 88806,387310
44,SHREE NARAYAN DAIRY,"Mathiya Chora, Anand, Gujarat 388001",388001,, ,387310
45,GUJARAT GOAT FARM,"GULAM ALI ROAD NR. HAZRAT BARA SYED, Dahiap, Gujarat 387340",387340,http://www.gujaratgoatfarm.com/, ,387310
46,Amul Green - Anand,"6/D, Amul Dairy Rd, Nandanvan Society, Ganesh Chokdi, Popati Nagar, Anand, Gujarat 388001",388001,, ,387310
47,ATMIYA PARLOUR,"Nandalaya Road, Bakrol, Nana Bazaar, Bakrol Rd, Vv Nagar, Vallabh Vidyanagar, Anand, Gujarat 388120",388120,,073593 25581,387310
48,Gujarat cooperative Milk Marketing Fedration LTD,"Amul Dairy Rd, opp. :Hotel Surbhi, Popati Nagar, Anand, Gujarat 388001",388001,https://www.amul.com/,02692 221 320,387310
49,Adarsh Dairy,"alindra bus, Alindra, Gujarat 387115",387115,, ,387310
50,"Amul Cattle Feed Factory, Kanjari","JW6F+7M5, Kanjari, Gujarat 387325",387325,https://amul.com/products/cattle-feed-info.php,02692 221 283,387310
51,BASHA MILK DAIRY&TEA STALL,"Tadipatri - Jammalamadugu Hwy, Muddanur, Andhra Pradesh 516380",516380,,099121 95037,516454
52,DODLA DAIRY FARM,"F66F+CV2, Jntu, Pulivendula, Andhra Pradesh 516390",516390,, ,516454
53,Mahila Dairy - Mandala Samaikya,"9F85+JW9, Vempalli, Andhra Pradesh 516329",516329,, ,516454
54,Singam farm’s,"Kk street, near Indian oil petrol pump, k.Rajupalem, Raju Palem, Andhra Pradesh 516359",516359,, ,516454
55,KR General Stores - Galiveedu,"Rayachoti road, near gate, Galiveedu, Andhra Pradesh 516267",516267,, ,516454
56,Nava Jyothi Milk Dairy,"Shop No.3/3/170 Opp.Lmr Multiple Speciality Hospital, Prasannaya Palli Railway Station Rd, Srinivas Nagar, Anantapur, Andhra Pradesh 515001",515001,,080198 55426,516454
57,HAP daily,"D.NO.5/220-1,SANJAYA NAGAR,NEAR YSR CIRCLE, opp. KHADI INDIA OFFICE, Dharmavaram, Andhra Pradesh 515671",515671,http://hapdaily.com/,097016 29629,516454
58,Dodla Milk Dairy,"State Highway, 57, Market Rd, Yadiki, Andhra Pradesh 515408",515408,,078936 05210,516454
59,Shyamala,"MHXQ+37X, Indira Gandhi Nagar, Anantapur, Andhra Pradesh 515001",515001,, ,516454
60,Gayathri milk dairy,"road, opposite vijay nagar colony, SN Pet, Kasapuram, Guntakal, Andhra Pradesh 515801",515801,, ,516454
61,KRISHNA MURTHI DAIRY PARLOUR,"SHOP.NO: HIG 25,ROAD NO.4,STM TOWNSHIP, NEAR RIIMS,PUTLAMPALLI,, Kadapa, Andhra Pradesh 516004",516004,http://www.heritagefoods.in/,085010 63513,516454
