,Name,address,pincode,website,phone number,scrap
0, , ,335039, , ,335039
1,shree krishna kanhaiya Goshala bala rajpura,"JF5Q+9RF, 46 Rb-B, 16 Rb, Rajasthan 335024",335024,, ,335039
2,Khushi Giri Ji Gaushala Thandi,"21-23 Np, Thandi, Rajasthan 335051",335051,, ,335039
3,Shri Krishan Gaushala 3LC A,"9MQ9+3X, 1 Jsd, Rajasthan 335702",335702,, ,335039
4,Sri gaushala gajsinghpur,"MC4P+7GR, NH 911, Gajsinghpur, Rajasthan 335024",335024,, ,335039
5,Shri Krishna Temple Gaushala,"H8HJ+R7H, Lakha Tiba, Rajasthan 335021",335021,, ,335039
6,Shri Krishna Gaushala,"H8JJ+2C9, Lakha Tiba, Rajasthan 335021",335021,, ,335039
7,Gaushala,"Near, Sukhadiya Cir, N Block, Sri Ganganagar, Rajasthan 335001",335001,, ,335039
8,Shri Gopal Krishan Gaushala,"925F+VXX, Manaktheri, 14 Stb, Rajasthan 335803",335803,,098286 52523,335039
9,Goushala,"8VCX+37R, Bishnoi Mohalla, Suratgarh, Rajasthan 335804",335804,, ,335039
10,Kamdhenu gaushala DungarSingh pura,"PWVG+HV7, Chak Ganeshgarh With Dungarsinghpur, Rajasthan 335025",335025,, ,335039
11,Sri Rupgiri Maharaj Gaushala Samiti,"B , Sardargarh, 10SHPD, Suratgarh, Rajasthan 335705",335705, , ,335039
12,Goshala,"PJ5H+2JG, Padampur, Rajasthan 335041",335041,, ,335040
13,Gaushala,"Near, Sukhadiya Cir, N Block, Sri Ganganagar, Rajasthan 335001",335001,, ,335040
14,"Gaushala Seva Samiti, Kikarwali","HGQH+M68, Kikarwali, Rajasthan 335051",335051,,098873 59264,335040
15,shree krishna kanhaiya Goshala bala rajpura,"JF5Q+9RF, 46 Rb-B, 16 Rb, Rajasthan 335024",335024,, ,335040
16,Jayco sri krishan goshala,"RQP8+Q7P, Padampur Rd, Chunawadh Kothi, Sri Ganganagar, 24 Gg, Rajasthan 335022",335022,, ,335040
17,Krishna Gaushala 14 Z,"WQ4W+XRX, 16 Z, Rajasthan 335001",335001,, ,335040
18,Radhey Krishan Goshala,"3 P, Sri Ganganagar, Rajasthan 335038",335038,, ,335040
19,GoMahal (Gaushala),"WRRM+QF, 3 B, Rajasthan 335001",335001,, ,335040
20,Rishi parashar goshala,"कल्याण भूमि के पास 16/17 H रॉड, Kesrisinghpur, Rajasthan 335027",335027,, ,335040
21,Dairy,"near main bus satnd, 48GG, Sri Nagar, Rajasthan 335040",335040,, ,335040
22,Shri Gopal Krishan Gaushala,"925F+VXX, Manaktheri, 14 Stb, Rajasthan 335803",335803,,098286 52523,335040
