,Name,address,pincode,website,phone number,scrap
0,Shri Gopal Gaushala,"WM25+WPX, Gulabpura, Rajasthan 311021",311021,, ,311021
1,Vijay Gaushala,,,, ,311021
2,Gaushala Road Durga Mandir,"C47H+GRX, Gaushala Road, Nirala Nagar, Begusarai, Bihar 851101",851101,, ,851101
3,Sumit Kumar singh Gaushala,,,, ,851101
4,Gau Mandir,"Panchgavya and Ayurvedic Research Centre, Kapasiya, Begusarai, Bihar 851101",851101,, ,851101
5,Maa General Store,"C47H+JCV, Gaushala Road , Teliya Pokhar Chowk, near Teliya Pokhar, 851101",851101,,093868 51564,851101
6,Vedic gir goshala,"Mohan Pur, Saraunja, Bihar 851131",851131,, ,851101
7,Ashish General Store,"Cold Storage, Gaushala Road, beside Pappu, Ratanpur, Begusarai, Bihar 851101",851101,,094300 66156,851101
8,Sharma house,"C47H+WXM, Gaushala Road, Nirala Nagar, Begusarai, Bihar 851101",851101,, ,851101
9,Gopal Medical Hall,"C49M+MG9, Gaushala Road, Ratanpur, Begusarai, Bihar 851101",851101,,098354 45580,851101
10,Maskara Bhawan,"C48J+528, Gaushala Road, Nirala Nagar, Begusarai, Bihar 851101",851101,, ,851101
11,Anju Devi Gaushala Safapur,,,, ,851101
12,Kanhaiya Company,"4, Gaushala Road, Ratanpur, Begusarai, Bihar 851101",851101,,094310 92973,851101
13,मीना प्रकाश निवास,"C47H+GRX, Gaushala Road, Nirala Nagar, Begusarai, Bihar 851101",851101,, ,851101
14,Sultan Traders,"Ward No 22, Marwari Mohalla, Gaushala Road, near Pappu Cold Store, Begusarai, Bihar 851101",851101,,,851101
15,Ishwar Sharma,"Kali Nagar, Gaushala Road, Nirala Nagar, Begusarai, Bihar 851101",851101,,090311 54530,851101
16,Vinayak store,"Gaushala Road, beside Union Bank of India, Nirala Nagar, Begusarai, Bihar 851101",851101,, ,851101
17,MATA RANI FLOWER DECORATORS,"Gaushala Road, Ratanpur, Begusarai, Bihar 851101",851101,,086032 94923,851101
18,M/s sk traders,"Cold Storage, Near, Gaushala Road, Ratanpur, Begusarai, Bihar 851101",851101,, ,851101
