,Name,address,pincode,website,phone number,scrap
0,Dayal Dairy,"Kheri Rd, opposite City Life, Santosh Nagar Colony, Maharaj Nagar, Lakhimpur, Uttar Pradesh 262701",262701,,097920 02725,787033
1,sudama dairy,"Udaypur, Lakhimpur, Uttar Pradesh 262701",262701,,0286 222 2314,787033
2,Shyamal Dairy,"Patihan Rd, Krishna Nagar, Palia Kalan, Uttar Pradesh 262902",262902,, ,787033
3,Kamdhenu Lekharu Dairy Farm,"2WRR+37F, Kalabil Mornoi Nepali, Assam 787023",787023,,096786 06810,784161
4,Bhaskar Store,"03, Bihpuria, Assam 784164",784164,,078964 80498,784161
5,Boruah Grosery Store,"2VW4+HFH 2VW4 GW2, Borbali, Assam 784163",784163,,093660 73201,784161
6,BORAH STORE,"SHOP NO,30 NO.1 JARABARI BLOCK ASSAM GUSHAIBARI TO JARABARI ROAD, NO1, BLOCK, Jarabari, Assam 784164",784164,,076379 65883,784161
7,Saikia Store,"01, Pathali Pahar, Assam 784163",784163,,096131 81025,784161
8,Boruah Store,"Shop No-6 Bongalmora, To, Dhunaguri Road, Sandahkhowa, Khora Chapori, Assam 787054",787054,,075789 27744,784161
9,R Hoque,"Karunabari, Karunabari No.1, Assam 784160",784160,,081348 33061,784161
10,D Store,"Khora Alengi, Bihpuria, Assam 784161",784161,,088761 65508,784161
11,Acharjee Store,"Laluk, Assam 784160",784160,,091010 96364,784161
12,S Store,"Rode, Bihpuria, Assam 784161",784161,"https://www.google.com/search?sca_esv=00e485a4403845c8&sca_upv=1&rlz=1C1CHWL_enIN1089IN1089&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=ADLYWILtKagE78nPZDbQH8192XU34_p3MQ:1716484346537&q=dairies+at+784161+in+india#",084729 18700,784161
13,Rahul Ice Factory,"Shop No 23 Bihpuria ,, Lakhimpur Road, Main, Market, Assam 784161",784161,,097068 36549,784161
14,Amul parlour (R &B Enterprise),"opposite to katoni road, North Lakhimpur, Harmoti, Assam 784160",784160,, ,784161
15,Borah Store,"Badati Road, Jamuguri, Nepali Gaon, Assam 784161",784161,,095776 02507,784161
16,Borah Store,"Nadika, Assam 787054",787054,,084150 80281,784161
17,Dikrong Enterprise,"Bihpuria, Unnamed Road, Bengenaati Grant, Assam 784161",784161,,086380 14317,784161
18,Rahman Store,"Dongibil, Dongibill, Assam 784161",784161,,060003 62237,784161
19,Bora Store,"Surhani, Assam 787054",787054,,093952 86390,784161
20,Sankar Store,"Amguri, Assam 787054",787054,"https://www.google.com/search?sca_esv=00e485a4403845c8&sca_upv=1&rlz=1C1CHWL_enIN1089IN1089&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=ADLYWILtKagE78nPZDbQH8192XU34_p3MQ:1716484346537&q=dairies+at+784161+in+india#",060024 16723,784161
21,Manash Computer store,"Badati, Road, Dongibill, Assam 784161",784161,,093654 68624,784161
22,Mamataj Store,"1No Dharmapur, Assam 784160",784160,,070029 07483,784161
23,Lakhimpur Dairy Farm,"749G+37Q, Borimuri, Assam 787051",787051,, ,787055
24,SS Dairy,"1No, Sarupather Tengadolong, Moranhat Town, Assam 785675",785675,, ,787055
25,Bhuyan Brother dairy,"Joysagar, Dicial Dhulia Gaon, Assam 785665",785665,, ,787055
26,MADHUR DAIRY,"Chalikhowa, Assam 785006",785006,, ,787055
27,Nijora Dairy Farm,"Block Road, Kunwar Gaon, Assam 787001",787001,,070024 77565,787055
28,Nandini Dairy Farm,"Bahona, Assam 785101",785101,, ,787055
29,North Lakhimpur promethean Rmc,"749G+7F8, NH 15, Tipukial, Borimuri, Assam 787051",787051, , ,787055
30,"Maa Dairy Farm, Rongpuria","Rongpuria, Assam 787023",787023,, ,787055
31,Yadav's Dairy Farm,"SH 31, Sadar, Maz Gaon, Jorhat CD Block Part, Chekonidhara, Assam 785008",785008,, ,787055
32,Charagua Kalita Gaon Dairy Co Operative Society Ltd,"3JQV+3R6, saragua, Demow, Assam 785672",785672, , ,787055
33,Sishu dairy,"Moran Changmai, Gaon, Oil India Rd, Moranhat Town, Assam 785669",785669,, ,787055
34,Gogoi house,"NH 15 Assam,Lakhimpur,boginadi, 14 mail 3, aali, Assam 787032",787032,, ,787055
35,Dairy Farm,"M6VJ+35M, Karanga Bamun Gaon, Assam 785008",785008,, ,787055
36,Bogi Farm House,"73G9+VJ, No.1 Rangajan, Assam 787051",787051,, ,787055
37,R SARMAH STORE,"DK ROAD, Dhakuakhana, Kathalguri, Assam 787058",787058,,099543 26355,787055
