,Name,address,pincode,website,phone number,scrap
0,MENAJIVI GAUSHALA CHERITABLE SANSTHAN,"At Post 402, Aakruti Complex, Stadium Circle, Navarangpura Gam, Navrangpura, Ahmedabad, Gujarat 380009",380009,http://www.menajivigaushala.com/,095553 64320,380006
1,Saibaba Gaushala,"2GXF+RC5, Jai Ambe Nagar, Thaltej, Ahmedabad, Gujarat 380054",380054,, ,380006
2,Nandini Gir Gaushala,"Sarathi Co-Operative Housing Society, Memnagar, Ahmedabad, Gujarat 380052",380052,https://nandini-gir-gaushala-1.ueniweb.com/,097250 08166,380006
3,Shri Sai Dham Gaushala,"Sal Hospital, Nilmani Society, Thaltej, Ahmedabad, Gujarat 380052",380052,, ,380006
4,Bansi Gir Gaushala,"Bansi Gir Gaushala Behind metro whole sale mall S.P. Ring Road, Shantipura Cir, Ahmedabad, Gujarat 382210",382210,http://www.bansigir.in/,063519 78087,380006
5,Krishna Gir Farm,"Service Rd, Bopal, Ahmedabad, Gujarat 380058",380058,,081538 10007,380006
6,Vijya Gaushala,"2FH2+622, Ghuma, Ahmedabad, Gujarat 380058",380058,, ,380006
7,Shaligram Bagh,"5F4V+R2V, Near Narmada Canal, Near Dantali Industrial Estate, Gota-Vadsar Road, Vadsar, Dantali, Gujarat 382165",382165,, ,380006
8,Revakant gir gaushala,"Lilapur, Gujarat 380060",380060,,094082 03447,380006
9,Nandini Gir Gaushala,"Sarathi Co-Operative Housing Society, Memnagar, Ahmedabad, Gujarat 380052",380052,https://nandini-gir-gaushala-1.ueniweb.com/,097250 08166,380052
10,Shri Sai Dham Gaushala,"Sal Hospital, Nilmani Society, Thaltej, Ahmedabad, Gujarat 380052",380052,, ,380052
11,Saibaba Gaushala,"2GXF+RC5, Jai Ambe Nagar, Thaltej, Ahmedabad, Gujarat 380054",380054,, ,380052
12,Shakti Gir Gaushala,"7 sudarshan appartment nr. Saibaba Temple, Bhuminagar Part-2, Sarvodaya Nagar, Ghatlodiya, Ahmedabad, Gujarat 380061",380061,https://www.a2shaktigir.com/contact-us/,098254 17017,380052
13,MENAJIVI GAUSHALA CHERITABLE SANSTHAN,"At Post 402, Aakruti Complex, Stadium Circle, Navarangpura Gam, Navrangpura, Ahmedabad, Gujarat 380009",380009,http://www.menajivigaushala.com/,095553 64320,380052
14,"G block, Shilp Shaligram, Sarkari Vasahat Road, Behind Ahmedabad one Mall","2GRJ+PCH, Sarkari Vasahat Road, Vastrapur, Ahmedabad, Gujarat 380052",380052,, ,380052
15,Krishna Gir Farm,"Service Rd, Bopal, Ahmedabad, Gujarat 380058",380058,,081538 10007,380052
16,Bansi Gir Gaushala,"Bansi Gir Gaushala Behind metro whole sale mall S.P. Ring Road, Shantipura Cir, Ahmedabad, Gujarat 382210",382210,http://www.bansigir.in/,063519 78087,380052
17,Vijya Gaushala,"2FH2+622, Ghuma, Ahmedabad, Gujarat 380058",380058,, ,380052
18,gaushala,"Manipur, Gujarat 380052",380052,, ,380052
19,Shakti Gir Gaushala,"7 sudarshan appartment nr. Saibaba Temple, Bhuminagar Part-2, Sarvodaya Nagar, Ghatlodiya, Ahmedabad, Gujarat 380061",380061,https://www.a2shaktigir.com/contact-us/,098254 17017,380061
20,Gaushala - Sola Bhagwat mandir,"Shree Bhagwat vidyalith Mandir, SHRI BHAGWAT VIDHYAPITH, Sola, Ahmedabad, Gujarat 380081",380081,, ,380061
21,Main Gaushala - Sola Bhagwat mandir,"3GPC+H9X, Sola, Ahmedabad, Gujarat 380081",380081,, ,380061
22,"Gaushala VIbhag-03, Sola Bhagwat Temple","3GQF+MHQ, Sola, Ahmedabad, Gujarat 380081",380081,, ,380061
23,Saibaba Gaushala,"2GXF+RC5, Jai Ambe Nagar, Thaltej, Ahmedabad, Gujarat 380054",380054,, ,380061
24,"Gaushala VIbhag-02, Sola Bhagwat Temple","3GQF+J96, Sola, Ahmedabad, Gujarat 380081",380081,, ,380061
25,Khodiyar gaushala,"Satya Residency, 32, Chandlodiya, Ahmedabad, Gujarat 382481",382481, , ,380061
26,Shri Sai Dham Gaushala,"Sal Hospital, Nilmani Society, Thaltej, Ahmedabad, Gujarat 380052",380052,, ,380061
27,Nandini Gir Gaushala,"Sarathi Co-Operative Housing Society, Memnagar, Ahmedabad, Gujarat 380052",380052,https://nandini-gir-gaushala-1.ueniweb.com/,097250 08166,380061
28,MENAJIVI GAUSHALA CHERITABLE SANSTHAN,"At Post 402, Aakruti Complex, Stadium Circle, Navarangpura Gam, Navrangpura, Ahmedabad, Gujarat 380009",380009,http://www.menajivigaushala.com/,095553 64320,380061
29,Bakrol Gaushala - Panjra Pol,"WGR2+PHR, Vanzar, Gujarat 382210",382210,, ,380055
30,gurukrupa gir gaushala,"XH27+MXH, nr. Parth International Pvt. Ltd, Piplaj, Ahmedabad, Gujarat 382405",382405,, ,380055
31,Bansi Gir Gaushala,"Bansi Gir Gaushala Behind metro whole sale mall S.P. Ring Road, Shantipura Cir, Ahmedabad, Gujarat 382210",382210,http://www.bansigir.in/,063519 78087,380055
